rowLabel	time(s)	intensity	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
?	0.03	9e-07	5	157.58	741.77	2850.6	4065.78	5029.41
?	0.03	1e-06	4	650.46	3099.91	4272.95	4704.56	--undefined--
?	0.04	1e-06	5	157.93	714.75	2979.26	3562.25	4926.94
?	0.05	2e-06	4	186.99	930.11	2881.76	4153.28	--undefined--
?	0.05	2e-06	4	175.52	854.76	2723.02	4058.45	--undefined--
?	0.06	2e-06	4	165.51	782.85	2810.43	4046.08	--undefined--
?	0.06	2e-06	4	162.08	737.41	2835.48	4238.07	--undefined--
?	0.07	2e-06	4	154.32	768.08	2893.91	4191.69	--undefined--
?	0.08	2e-06	5	144.21	776.47	2765.83	4104.55	5091.71
?	0.08	2e-06	5	139.89	805.84	2770.23	4054.97	4919.62
?	0.09	2e-06	5	141.07	891.37	2921.29	3820.67	4882.71
?	0.1	1e-06	4	137.33	886.03	2729.52	3860.89	--undefined--
?	0.1	1e-06	4	145.47	2586.7	3430.58	3954.44	--undefined--
?	0.11	8e-07	4	165.1	2184.6	3096.53	4286.18	--undefined--
?	0.11	3e-07	4	184.08	2379.28	3103.73	4234.17	--undefined--
?	0.12	3e-07	4	192.55	2717.58	3067.1	4106.85	--undefined--
?	0.13	3e-07	4	174.16	2396.06	3478.91	4252.31	--undefined--
?	0.13	3e-07	4	160.02	2262.18	3228.18	4349.36	--undefined--
?	0.14	3e-07	4	148.89	2179.41	3303.55	4409.3	--undefined--
?	0.15	3e-07	4	150.86	2194.27	3502.23	4490.15	--undefined--
?	0.15	3e-07	5	147.76	1959.36	3192.37	4045.88	5323.9
?	0.16	9e-08	5	144.83	1918.35	3006.39	4076.81	4999.76
?	0.16	9e-08	5	143.34	1831.16	2904.44	3980.94	5060.18
?	0.17	4e-05	5	136.65	1835.27	2844.14	3899.88	4954.22
?	0.18	0.0003	5	139.14	1903.93	3206.68	3524.09	4818.46
?	0.18	0.003	5	270.09	1697.31	3072.21	4402.47	4539.1
?	0.19	0.01	4	396.16	1669.92	3047.2	3470.35	--undefined--
?	0.2	0.04	4	426.77	1642.1	3048.68	3882.83	--undefined--
?	0.2	0.07	4	477.07	1459.58	2728.69	4071.54	--undefined--
?	0.21	0.19	5	524.31	1171.52	2646.29	4122.99	4449.8
?	0.21	0.25	5	601.64	1180.88	2649.38	4011.82	4631.41
?	0.22	0.26	5	643.64	1210.65	2666.96	4046.91	4644.03
?	0.23	0.26	5	655.83	1221.45	2669.77	4056.41	4681.29
?	0.23	0.26	5	664.04	1220.01	2642.36	4033.5	4700.4
?	0.24	0.26	5	674.35	1215.33	2626.54	4006.99	4698.98
?	0.25	0.26	5	694.67	1208.28	2621.75	4001.65	4693.52
?	0.25	0.26	5	722.7	1193.35	2619.55	3989.71	4673.19
?	0.26	0.26	5	748.17	1180.95	2601.7	3929.13	4677.52
?	0.26	0.26	5	742.52	1180.18	2607.69	3932.07	4706.33
?	0.27	0.2	5	754.42	1169.32	2604.74	3882.5	4713.09
?	0.28	0.24	5	813.93	1164.23	2574.5	3870.26	4660.12
?	0.28	0.35	5	865.09	1178.39	2584.01	3905.43	4577.53
?	0.29	0.35	5	903.9	1181.81	2603.81	3861.65	4562.78
?	0.3	0.35	5	927.94	1186.78	2569.49	3808.74	4539.69
?	0.3	0.35	5	969.43	1211.99	2528.76	3824.13	4641.47
?	0.31	0.35	5	1012.03	1218.71	2497.37	3877.34	4666.1
?	0.31	0.35	5	990.83	1221.73	2389.05	3876.21	4635.48
?	0.32	0.35	5	959.07	1219.18	2368.03	3880.1	4657.74
?	0.33	0.35	5	944.92	1215.69	2325.61	3842.08	4652.59
?	0.33	0.32	5	846.31	1234.35	2282.43	3877.65	4605.41
?	0.34	0.25	5	821.61	1239.67	2276.25	3943.53	4567.77
?	0.35	0.25	5	808.49	1230.73	2226.85	4043.55	4564.9
?	0.35	0.22	5	815.5	1225.99	2198.68	4089.94	4547.15
?	0.36	0.22	5	826.22	1251.4	2192.34	4141.32	4501.33
?	0.36	0.11	5	807.11	1196.88	2121.47	4147.02	4485.04
?	0.37	0.09	5	739.06	1209.27	1730.98	4393.3	4498.15
?	0.38	0.03	5	543.94	930.54	1249.08	4483.56	4658.21
?	0.38	0.02	4	457.59	881.08	1201	3926.79	--undefined--
?	0.39	0.005	5	390.13	544.54	904.33	3658.31	4895.61
?	0.4	0.0006	4	424.48	908.96	3194.67	4527.77	--undefined--
?	0.4	0.0002	5	228.73	921.76	2788.75	4121.96	4942.93
?	0.41	0.0002	4	225.7	2394.06	3266.27	4173.93	--undefined--
?	0.41	3e-06	4	226.95	2402.62	3140.86	4266.35	--undefined--
?	0.42	8e-07	5	228.64	1133.91	2767.56	3986.94	5156.13
?	0.43	8e-07	5	221.34	1311.19	2681.11	3814.38	4803.77
?	0.43	6e-07	4	210.38	2246.48	3175.32	4221.48	--undefined--
