rowLabel	time(s)	intensity	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
?	0.03	3e-06	5	247.08	1281.63	2727.33	3497	4723.7
?	0.03	8e-06	5	235.38	988.74	2545.04	3683.25	4673.62
?	0.04	8e-06	5	241.89	972.75	2548.89	3606.71	4659.03
?	0.04	2e-05	5	194.35	850.49	3065.27	3349.14	4468.67
?	0.05	3e-05	5	169.91	844.38	2385.37	3063.58	4416.84
?	0.06	3e-05	5	169.5	818.95	2172.84	3052.67	4441.81
?	0.06	3e-05	4	179.71	955.91	2702.11	4179.08	--undefined--
?	0.07	4e-05	4	185.32	1153.8	2660.3	3817.83	--undefined--
?	0.08	4e-05	4	172.53	1067.3	2793.8	3862.46	--undefined--
?	0.08	4e-05	4	161.75	1013.05	2781.24	4150.11	--undefined--
?	0.09	4e-05	4	157.87	968.28	2733.23	4084.28	--undefined--
?	0.09	5e-05	5	155.71	829.07	2711.88	4060.89	4209.45
?	0.1	5e-05	4	152.93	717.43	2710.03	3908.77	--undefined--
?	0.11	5e-05	5	151	697.15	2629.36	3570.45	4070.05
?	0.11	5e-05	5	145.13	915.92	2789.79	2865.75	4328.05
?	0.12	5e-05	5	139.93	906.22	2828.58	3622.46	4386.78
?	0.13	5e-05	5	136.75	877.72	2855.61	3810.21	4320.18
?	0.13	5e-05	5	140.6	658.43	2527.63	3580.42	4414.46
?	0.14	5e-05	5	134.54	907.79	2453.31	3615.01	4490.18
?	0.14	3e-05	5	139.53	859.25	2430.85	3565.66	4470.88
?	0.15	2e-05	5	145.63	873.29	2349.33	3497.89	4480.23
?	0.16	1e-05	5	161.15	749.88	2494.95	3363.49	4526.43
?	0.16	1e-05	5	167.29	982.44	2583.63	3363.88	4603.56
?	0.17	1e-05	5	179.71	1026.18	2543.1	3451.07	4551.51
?	0.18	1e-05	5	204.91	1056.48	2427.57	3491.03	4501.76
?	0.18	1e-05	5	235.65	1082.41	2410.76	3704.53	4613.66
?	0.19	1e-05	4	222.9	1136.48	2487.52	3913.59	--undefined--
?	0.19	1e-05	4	204.07	2496.42	3020.19	4175.88	--undefined--
?	0.2	1e-05	4	197.93	2053	3127.74	4209.38	--undefined--
?	0.21	1e-05	5	173.53	1913.2	1984.22	3268.14	4345.3
?	0.21	1e-05	5	189.78	462.36	2296.7	3522.48	4353.87
?	0.22	6e-06	4	186	2217.42	3146.19	4214.28	--undefined--
?	0.23	3e-06	4	188.01	2186.58	3088.93	4197.26	--undefined--
?	0.23	3e-06	4	181.59	2344.13	3746.4	4171.01	--undefined--
?	0.24	3e-06	5	183	1465.16	2569.35	3550.16	4560.65
?	0.24	1e-06	5	185.7	1383.07	2660.98	3299.93	4446.92
?	0.25	1e-06	5	167.17	1533.52	2556.47	3311.54	4494.31
?	0.26	2e-06	5	170.32	1864.09	2484.52	3437.42	4472.42
?	0.26	4e-06	5	167.64	1785.18	2461.02	3451.58	4435.54
?	0.27	0.001	5	179.28	1897.92	3011.5	3141.81	4373.17
?	0.28	0.002	5	206.34	1452.71	2928.67	3692.78	4484.64
?	0.28	0.005	5	209.31	1701	2970.09	3454.66	4618.45
?	0.29	0.005	5	328.6	1662.62	2990.77	3561.56	4596.47
?	0.29	0.01	5	376.92	1565.84	2944.71	3571.9	4547.68
?	0.3	0.02	5	418.97	1558.08	2728.2	3653.31	4465.43
?	0.31	0.02	5	452.72	1572.21	2708.78	3734.7	4287.18
?	0.31	0.04	5	493.24	1565.73	2682.85	3923.23	4451.08
?	0.32	0.15	5	547.86	1556.43	2679.88	4015.36	4586.94
?	0.33	0.15	5	567.81	1543.84	2667.63	4021.42	4636.14
?	0.33	0.16	5	594.9	1508.24	2667.95	4045.57	4646.74
?	0.34	0.17	5	613.83	1477.27	2678.83	4067.04	4679.89
?	0.34	0.17	5	618.13	1463.7	2674.31	4079.53	4690.73
?	0.35	0.17	5	621.98	1441.61	2646.72	4035.58	4705.04
?	0.36	0.17	5	624.12	1402.52	2627.57	4000.18	4703.3
?	0.36	0.17	5	629.76	1393.43	2620.28	3995.27	4691.5
?	0.37	0.17	5	636.72	1383.44	2634.36	3992.65	4653.65
?	0.38	0.17	5	644.5	1341.41	2623.29	3922.9	4637.41
?	0.38	0.17	5	666.24	1323.34	2577.7	3804.08	4663.53
?	0.39	0.16	5	669.33	1310.31	2587.78	3817.73	4672.81
?	0.39	0.16	5	667.77	1298.8	2618.6	3904.03	4704.99
?	0.4	0.13	5	664.43	1287.91	2594.72	3872.2	4699.83
?	0.41	0.16	5	668.89	1257.41	2576.36	3847.32	4693.78
?	0.41	0.16	5	698.46	1208.07	2554.55	3857.46	4693.76
?	0.42	0.16	5	725.79	1194.72	2540.79	3894.33	4631.35
?	0.43	0.16	5	755.67	1184.84	2566.87	3915.78	4647.92
?	0.43	0.23	5	775.2	1157.53	2582.48	3874.23	4652.4
?	0.44	0.23	5	762.01	1145.4	2599.25	3848.29	4648.66
?	0.44	0.23	5	743.28	1129.31	2516.83	3833.3	4638.91
?	0.45	0.23	5	790.26	1140.45	2504.27	3851.85	4625.58
?	0.46	0.23	5	796.68	1142.69	2512.06	3882.23	4666.53
?	0.46	0.23	5	786.49	1123.68	2464.2	3907.91	4676.72
?	0.47	0.23	5	792.61	1111.28	2359.76	3878.19	4615.69
?	0.48	0.23	5	807.98	1103.66	2356.11	3888.46	4621.2
?	0.48	0.22	5	766.91	1149.21	2396.35	3893.18	4647.03
?	0.49	0.17	5	756.03	1160.33	2382.74	3867.42	4645.38
?	0.49	0.17	5	743.93	1184.06	2317.54	3895.35	4631.8
?	0.5	0.17	5	700.36	1213.52	2324.07	3911.01	4606.25
?	0.51	0.17	5	701.58	1203.17	2328.89	3911.43	4589.04
?	0.51	0.15	5	709.27	1211.11	2329.87	3981.74	4571.6
?	0.52	0.14	5	718.84	1175.11	2273.68	4014.57	4562.29
?	0.53	0.14	5	686.49	1135.48	2208.6	4008.7	4551.81
?	0.53	0.14	5	673.81	1143	2213.39	4026.42	4530.73
?	0.54	0.08	5	651.14	1131.65	2233.15	3991.53	4489.2
?	0.54	0.08	5	606.61	1123.37	2169.65	3913.12	4491.09
?	0.55	0.05	5	607.15	1131.76	2020.43	4093.35	4410.39
?	0.56	0.03	5	623.34	1148.35	2196.52	4225.54	4362.69
?	0.56	0.02	5	595.19	1137.12	2287.17	4109.18	4390.46
?	0.57	0.006	5	590.78	1062.32	2317.26	3818.09	4488.95
?	0.58	0.003	5	590	1045.9	2264.46	3936.78	4358.28
?	0.58	0.002	4	592.47	1011.17	2326.13	4307.86	--undefined--
?	0.59	0.002	4	472.16	1072.81	2318.67	4252.62	--undefined--
?	0.59	0.002	5	403	1129.75	2290.44	4155.79	4547.53
?	0.6	0.002	5	417.54	1100.03	2279.03	4274.61	5081.78
?	0.61	0.0006	5	329.11	1063.61	2256.85	3809.8	4362.95
?	0.61	0.0006	5	316.09	1100.69	2086.47	3370.19	4560.42
