rowLabel	time(s)	intensity	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
?	0.03	3e-05	5	222.93	979.5	2768.63	3420.08	4637.12
?	0.03	4e-05	5	165.35	876.59	2630.56	3123.95	4473.47
?	0.04	4e-05	5	175.96	866.38	2451.7	3052.01	4382.38
?	0.05	4e-05	5	179.87	949.24	2784.09	2829.14	4119.3
?	0.05	4e-05	5	166.36	976.1	2843.85	3167.47	4124.57
?	0.06	4e-05	5	157.31	939.27	2738.25	4107.08	4244.4
?	0.06	4e-05	5	153.98	814.54	2649.61	3296.46	4193.42
?	0.07	4e-05	5	149.72	745.2	2503.23	3393.03	4293.52
?	0.08	4e-05	5	142.84	893.52	2807.65	2908.35	4445.7
?	0.08	4e-05	5	139.21	898.27	2707.3	3743.78	4481.86
?	0.09	4e-05	5	140.47	868.64	2630.01	3280.58	4356.56
?	0.1	4e-05	5	136.85	1139.8	2592.22	3466.84	4427.62
?	0.1	4e-05	5	144.17	1138.67	2844.51	3067.82	4418.22
?	0.11	2e-05	5	158.56	1072.9	2599.67	3445.79	4491.42
?	0.11	1e-05	5	180.25	1101.69	2426.8	3487.94	4492.18
?	0.12	1e-05	5	193.39	1062.34	2430.52	3681.36	4489.09
?	0.13	1e-05	4	174.31	1100.34	2578.84	3837.95	--undefined--
?	0.13	1e-05	5	159.22	1444.57	2739.01	3612.55	4187.91
?	0.14	1e-05	5	149.39	1473.77	2437.44	3581.52	4395.12
?	0.15	1e-05	5	150.3	2195.93	2322.51	3280.37	4302.69
?	0.15	1e-05	4	149.64	2197.46	3274.58	4145.72	--undefined--
?	0.16	3e-06	5	147.83	1889.79	2591.53	3526.29	4329.59
?	0.16	3e-06	5	145.34	1632.98	2654.52	3278.01	4522.08
?	0.17	0.005	5	140.23	1936.23	2517.2	3345.08	4415.19
?	0.18	0.005	5	144.87	1789.06	2680.1	3351.74	4448.67
?	0.18	0.02	5	149.7	1692.93	2982.59	3487.86	4635.46
?	0.19	0.02	5	287.89	1657.17	3008.71	3483.61	4614.64
?	0.2	0.04	5	401.16	1528.86	3028.42	3414.16	4570.7
?	0.2	0.13	5	444.5	1175.76	2747.56	3650.57	4493.07
?	0.21	0.21	5	482.02	1093.24	2646.42	3941.83	4482.63
?	0.21	0.21	5	545.95	1081.43	2646.55	3986.72	4621.24
?	0.22	0.21	5	593.24	1089.41	2663.54	4038.75	4646.64
?	0.23	0.21	5	613.82	1097.21	2670.55	4054.13	4687.19
?	0.23	0.21	5	620.17	1096.59	2644.74	4031.05	4707.44
?	0.24	0.21	5	621.49	1095.05	2626.93	3999.18	4705.74
?	0.25	0.21	5	628.87	1095.16	2624.76	3986.71	4703.32
?	0.25	0.21	5	640.45	1102.8	2626	3955.76	4694.35
?	0.26	0.21	5	663.86	1102.42	2608.14	3890.96	4704.4
?	0.26	0.21	5	671.26	1087.09	2618.08	3912.26	4717.09
?	0.27	0.16	5	672.2	1102.16	2595.36	3882.73	4724.4
?	0.28	0.18	5	701.68	1095.05	2560.89	3879.2	4696.91
?	0.28	0.2	5	749.44	1100.71	2574.55	3918.4	4670.71
?	0.29	0.21	5	765.67	1094.44	2589.64	3883.14	4672.24
?	0.3	0.21	5	735.94	1109.66	2531.97	3842.47	4647.71
?	0.3	0.21	5	776.14	1132.97	2506.11	3866.52	4657.01
?	0.31	0.21	5	773.94	1129.6	2477.52	3901.07	4684.12
?	0.31	0.21	5	793.13	1111.5	2389.28	3901.68	4650.56
?	0.32	0.21	5	773.54	1141.36	2388.98	3914.81	4668.54
?	0.33	0.21	5	754.07	1175.5	2357.08	3890.18	4662.07
?	0.33	0.21	5	713.97	1201.05	2327.67	3906.71	4618.46
?	0.34	0.18	5	705.16	1202.32	2332.3	3931.04	4577.44
?	0.35	0.18	5	714.68	1180.52	2292.92	3991.12	4557.87
?	0.35	0.15	5	686.46	1148.37	2242.47	3989.36	4533.95
?	0.36	0.15	5	654.06	1141.33	2244.9	3987.15	4492.87
?	0.36	0.07	5	602.29	1137.58	2160.31	3971.64	4466.34
?	0.37	0.07	5	616.89	1165.15	2227.99	4202.73	4350.26
?	0.38	0.02	5	592.36	1120.34	2298.8	4080.73	4377.67
?	0.38	0.02	5	577.54	1049.97	2230.1	3963.9	4361.69
?	0.39	0.005	5	528.43	1054.34	2253.18	4277.6	4387.7
?	0.4	0.002	5	431.88	1127.04	2294.39	4241.87	4594.45
?	0.4	0.002	5	394.9	1084	2255.02	4333.6	4358.23
?	0.41	0.002	5	326.36	1093.29	2076.96	3571.89	4548.92
?	0.41	0.0007	5	368.83	1092.05	2050.63	3718.7	4579.23
?	0.42	0.0003	5	484.09	990.1	2258.7	3570.62	4370.46
?	0.43	0.0002	5	458.04	971.52	2254.36	3376.2	4286.54
?	0.43	9e-05	5	401.23	1077.81	2440.38	3119.01	4409.32
?	0.44	8e-05	5	386.01	995.44	2746.06	3007.96	4654.2
?	0.45	4e-05	5	329.41	952.43	2633.18	3609.67	4700.36
?	0.45	0.0002	5	207.31	945.71	2630.83	3635.94	4555.67
?	0.46	0.0002	5	288.6	1034.24	2815.99	3777	4539.43
?	0.46	0.0002	4	1173.88	3119.23	4040.86	4760.78	--undefined--
?	0.47	0.0002	5	561.93	2011.86	2870.2	4161.17	4772.33
?	0.48	0.0002	4	1465.36	2968.36	4205.7	4779.99	--undefined--
?	0.48	0.004	4	1452.83	2662.39	3865.87	4693.96	--undefined--
?	0.49	0.004	5	597.77	1458.86	2374.94	3460.75	4502.96
?	0.5	0.01	4	1321.02	1534.31	3095.44	4460.55	--undefined--
?	0.5	0.01	4	1339.65	1534.13	3060.21	4452.43	--undefined--
?	0.51	0.01	4	1406.72	1524.12	3020.94	4442.53	--undefined--
?	0.51	0.01	4	1336.61	1537.26	2970.01	4442.88	--undefined--
?	0.52	0.01	5	806.62	1536.33	2107.86	2929.97	4467.85
?	0.53	0.01	5	883.85	1560.19	1644.69	2931.35	4477.94
?	0.53	0.01	4	1212.88	1586.72	3078.8	4480.46	--undefined--
?	0.54	0.01	4	1509.44	1569.4	3219.77	4542.76	--undefined--
?	0.55	0.004	5	431.64	1304.7	1557.18	3182.3	4568.1
?	0.55	0.003	5	946.71	1538.03	2872.06	2990.5	4542.37
?	0.56	0.003	5	861.44	1572.15	2832.68	3883.35	4481.39
?	0.56	0.003	5	942.76	1621.14	2957.99	3920.33	4430.69
?	0.57	0.003	4	961.96	1637	2939.34	4478.95	--undefined--
?	0.58	0.003	5	962.21	1649.91	2921.04	4294.51	4486.78
?	0.58	0.003	5	825.05	1661.72	3002	3967.59	4527.81
?	0.59	0.003	5	686.99	1636.61	2917.94	3614.49	4570.28
