rowLabel	time(s)	intensity	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
?	0.03	3e-05	5	221.95	965.44	2641.61	3586.99	4629.91
?	0.03	4e-05	5	166.02	856.64	3009.11	3105.28	4398.03
?	0.04	4e-05	5	176.17	870.82	2839.6	3026.99	4420.41
?	0.05	4e-05	5	179.51	930.33	2618.95	3375.91	4149.85
?	0.05	5e-05	4	166.69	990.37	2750.77	3940.04	--undefined--
?	0.06	5e-05	4	157.63	956.6	2695.9	4048.11	--undefined--
?	0.06	5e-05	4	154.33	837.53	2631.74	4078.34	--undefined--
?	0.07	5e-05	5	150.11	754.4	2611.09	3374.58	4247.52
?	0.08	5e-05	5	142.51	869.66	2605.41	2900.78	4387.79
?	0.08	5e-05	5	138.89	875.9	2697.08	3446.95	4388.82
?	0.09	5e-05	5	140.14	885.93	2564.21	3441.09	4418.99
?	0.1	5e-05	5	136.5	1083.11	2468.81	3483.03	4429.93
?	0.1	4e-05	5	143.82	1096.79	2665.26	3157.94	4425.01
?	0.11	2e-05	5	158.58	1097.59	2594.77	3393.4	4476.37
?	0.11	1e-05	5	180.58	1150.95	2474.71	3492.96	4530.66
?	0.12	1e-05	5	193.52	1066.47	2445.65	3638.37	4658.77
?	0.13	1e-05	4	174.6	1122.02	2603.17	3831.99	--undefined--
?	0.13	1e-05	4	159.73	1914.15	3065.64	4219.19	--undefined--
?	0.14	1e-05	5	149.53	1679.4	2274.94	3537.22	4425.3
?	0.15	1e-05	5	150.21	1903.86	2351.43	3397.01	4364.67
?	0.15	1e-05	5	149.41	1829.47	2345	3515.59	4216.16
?	0.16	3e-06	5	147.69	1650.71	2527.25	3477.1	4327.37
?	0.16	3e-06	5	145.3	1613.16	2675.77	3334.81	4476.66
?	0.17	0.005	5	140.07	1798.2	2634.8	3422.59	4457.21
?	0.18	0.005	5	144.78	1760.48	2605.49	3436.97	4484.18
?	0.18	0.008	5	150.24	1695.53	2979.36	3497.72	4637.14
?	0.19	0.01	5	277.4	1670.41	2998.07	3516.05	4618.7
?	0.2	0.02	5	382.22	1589.82	2994.82	3524.42	4580.65
?	0.2	0.06	5	437.94	1415.11	2755.35	3681.98	4490.73
?	0.21	0.16	5	485.79	1381.14	2647.6	3957.76	4465.45
?	0.21	0.19	5	551.81	1349.7	2644.2	3992.4	4609.94
?	0.22	0.21	5	598.21	1313.17	2659.96	4039.8	4640.29
?	0.23	0.21	5	617.42	1297.23	2668.06	4053.98	4684.58
?	0.23	0.21	5	623.24	1277.75	2643.12	4030.52	4706.02
?	0.24	0.21	5	624.62	1254.35	2626.11	3998.72	4705.09
?	0.25	0.21	5	632.83	1241.94	2623.55	3986.47	4702.57
?	0.25	0.21	5	646.48	1233.92	2624.71	3955.91	4692.81
?	0.26	0.21	5	669.66	1226.88	2606.89	3890.87	4702.33
?	0.26	0.21	5	672.15	1210.22	2618.15	3913.32	4715.92
?	0.27	0.16	5	672.41	1192.94	2596.42	3883.43	4724.4
?	0.28	0.17	5	703.02	1166.37	2561.85	3879.47	4697.16
?	0.28	0.2	5	753.85	1151.25	2574.24	3918.82	4670.2
?	0.29	0.22	5	770.61	1126	2588.81	3883.43	4671.39
?	0.3	0.22	5	739.06	1121.71	2531.56	3842.45	4647.19
?	0.3	0.22	5	777.35	1135.83	2506.04	3866.55	4656.88
?	0.31	0.22	5	774.36	1129.72	2477.41	3901.14	4684.11
?	0.31	0.22	5	793.23	1111.52	2389.31	3901.7	4650.55
?	0.32	0.22	5	773.54	1141.36	2388.99	3914.8	4668.53
?	0.33	0.22	5	754.08	1175.49	2357.08	3890.18	4662.09
?	0.33	0.22	5	713.95	1201.05	2327.61	3906.8	4618.5
?	0.34	0.18	5	705.15	1202.32	2332.29	3931.05	4577.44
?	0.35	0.18	5	714.67	1180.52	2292.89	3991.13	4557.92
?	0.35	0.16	5	686.46	1148.37	2242.46	3989.44	4533.95
?	0.36	0.16	5	654.05	1141.33	2244.9	3987.35	4492.89
?	0.36	0.07	5	602.29	1137.58	2160.32	3972.11	4466.36
?	0.37	0.07	5	616.92	1165.16	2227.96	4202.86	4350.23
?	0.38	0.02	5	592.37	1120.36	2298.8	4083.91	4377.58
?	0.38	0.02	5	577.51	1049.95	2229.99	3965.77	4362.07
?	0.39	0.005	5	528.65	1054.36	2252.8	4278.35	4421.67
?	0.4	0.002	5	432.07	1127.12	2294.93	4242.35	4647.63
?	0.4	0.002	5	395.19	1084.25	2256.84	4341.55	4469.8
?	0.41	0.002	5	326.33	1093.16	2075.72	3571.74	4551.49
?	0.41	0.0007	5	368.86	1092.25	2048.49	3726.77	4575.26
?	0.42	0.0003	5	484.56	989.5	2263.36	3578.68	4358.79
?	0.43	0.0002	5	458.45	971.2	2259.23	3382.76	4276.03
?	0.43	0.0001	5	401.05	1077.86	2432.27	3136.57	4409.97
?	0.44	8e-05	5	386.01	995.66	2736.56	3012.32	4654.71
?	0.45	5e-05	5	329.84	952.65	2629.44	3615.02	4701.18
?	0.45	0.0002	5	198.84	944.7	2624.87	3637.25	4546.18
?	0.46	0.0002	5	286.52	1032.89	2790.17	3773.37	4548.89
?	0.46	0.0002	4	1165.53	3104.18	4038.4	4760.59	--undefined--
?	0.47	0.0002	5	554.22	2002.37	2874.95	4162.13	4773.12
?	0.48	0.0002	4	1249.73	2896.42	4207.83	4780.98	--undefined--
?	0.48	0.004	4	1240.86	2703.25	3943.95	4741.66	--undefined--
?	0.49	0.004	5	486.32	1451.57	2413.9	3472.75	4616.67
?	0.5	0.01	4	1321.6	1534.09	3095.84	4460.96	--undefined--
?	0.5	0.01	4	1339.43	1534.27	3060.58	4452.42	--undefined--
?	0.51	0.01	4	1404.65	1524.05	3022	4442.6	--undefined--
?	0.51	0.01	4	1342.17	1537.3	2970.88	4442.44	--undefined--
?	0.52	0.01	5	806.84	1536.34	2106.1	2929.96	4467.46
?	0.53	0.01	5	881.27	1559.64	1626.93	2930.16	4478.25
?	0.53	0.01	4	1206.45	1586.68	3076.67	4480.09	--undefined--
?	0.54	0.01	4	1507.1	1569.86	3217.17	4542.12	--undefined--
?	0.55	0.004	5	445.91	1310.14	1557.52	3186.3	4568.25
?	0.55	0.003	5	950.66	1537.47	2848.38	2992.5	4543.29
?	0.56	0.003	5	860.89	1571.93	2830.59	3880.84	4483.15
?	0.56	0.003	5	941.68	1620.24	2957.24	3900.63	4430.08
?	0.57	0.003	4	962.18	1636.99	2938.76	4478.78	--undefined--
?	0.58	0.003	5	962.54	1649.64	2921.48	4300.94	4485.57
?	0.58	0.003	5	827.95	1661.78	3000.35	3972.02	4527.22
?	0.59	0.003	5	687.74	1637.29	2924.72	3610.87	4569.64
