rowLabel	time(s)	intensity	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
?	0.03	1e-06	5	202.47	912.48	2692.44	3964.3	4777.4
?	0.03	1e-06	4	595.69	1077.1	2903.92	4326.78	--undefined--
?	0.04	1e-06	5	166.87	730.05	2907.54	4058.39	4634.87
?	0.05	2e-06	5	185.87	908.13	2818.77	3834.62	5125.58
?	0.05	2e-06	4	175.75	887.09	2691.59	3962.81	--undefined--
?	0.06	2e-06	4	167.52	813.14	2733.66	4134.23	--undefined--
?	0.06	2e-06	4	163.32	732.96	2827.56	4040.93	--undefined--
?	0.07	2e-06	5	154.28	708.07	2690.48	3762.2	5101.25
?	0.08	2e-06	4	145.21	805.82	2789.35	4004.26	--undefined--
?	0.08	2e-06	4	139.44	907.25	2849.99	4166.34	--undefined--
?	0.09	2e-06	4	138.55	982.86	2931.14	4003.3	--undefined--
?	0.1	1e-06	5	134.04	1017.23	2958.95	3943.34	4963.57
?	0.1	1e-06	4	140.93	2194.82	3238.3	4300.36	--undefined--
?	0.11	8e-07	4	158.36	2407.3	3325.64	4052.45	--undefined--
?	0.11	3e-07	4	180.45	2171.08	3330.21	4312.07	--undefined--
?	0.12	3e-07	4	190.41	2288.14	3281.12	4385.86	--undefined--
?	0.13	3e-07	4	173.36	2467	3696.35	3909.96	--undefined--
?	0.13	3e-07	4	159.34	2275.66	3386.23	4195.2	--undefined--
?	0.14	3e-07	4	148.83	2310.75	3529.22	4281.09	--undefined--
?	0.15	3e-07	4	150	2253.28	3512.49	4344.19	--undefined--
?	0.15	3e-07	4	148.09	2182.63	3473.39	4308.53	--undefined--
?	0.16	1e-07	4	145.29	1981.18	3278.08	4399.56	--undefined--
?	0.16	1e-07	4	143.69	1911.67	3008.77	4121.79	--undefined--
?	0.17	2e-05	5	136.66	1953.46	2897.55	4101.44	5227.74
?	0.18	0.0003	5	138.78	1954.05	2978.66	4057.87	5147.71
?	0.18	0.003	4	245.7	1767.46	3063.85	4051.23	--undefined--
?	0.19	0.01	4	378.89	1664.9	3051.74	3480.21	--undefined--
?	0.2	0.03	5	397.52	1654.22	2330.07	3060.75	4150.61
?	0.2	0.08	5	446.62	1640.6	2674.46	2749.73	4087.15
?	0.21	0.19	5	524.77	1622.53	2644.34	4125.76	4395.33
?	0.21	0.21	5	600.69	1597.33	2645.13	4004	4604.22
?	0.22	0.23	5	635.52	1565.66	2662.82	4037.77	4637.66
?	0.23	0.23	5	649.29	1530.27	2668.72	4052.07	4680.26
?	0.23	0.23	5	661.3	1507.23	2643.44	4030.43	4699.76
?	0.24	0.23	5	674.41	1481.56	2626.62	4002.63	4696.65
?	0.25	0.23	5	694.08	1448.31	2620.99	3997.13	4690.31
