rowLabel	time(s)	intensity	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
?	0.03	3e-06	5	246.72	1255.53	2668.7	3663.91	4711.96
?	0.03	8e-06	5	235.46	997.32	2570.66	3702.45	4668.96
?	0.04	8e-06	5	241.87	968.08	2504.09	3652.3	4664.09
?	0.04	2e-05	5	192.92	811.79	3039.6	3957.65	4369.21
?	0.05	3e-05	4	171.93	865.36	2979.34	4347.72	--undefined--
?	0.06	3e-05	5	170.36	826.87	2457.22	2912.75	4453.92
?	0.06	3e-05	5	176.6	846.89	2526.65	2851.32	4358.13
?	0.07	4e-05	4	182.44	1084.61	2755.08	4135.44	--undefined--
?	0.08	4e-05	4	172.26	1060.51	2814.55	3939.2	--undefined--
?	0.08	4e-05	4	162.09	1028.29	2764.27	3786.13	--undefined--
?	0.09	4e-05	4	158.67	1003.72	2702.36	3874.28	--undefined--
?	0.09	5e-05	4	156.93	923.54	2682.88	3895.92	--undefined--
?	0.1	5e-05	4	152.68	721.13	2683.38	3888.43	--undefined--
?	0.11	5e-05	5	150.34	696.19	2503.06	3464.82	4351.35
?	0.11	5e-05	5	144.61	874.94	2747.35	2853.65	4459.33
?	0.12	5e-05	5	139.84	902.5	2818.41	3479.46	4243.79
?	0.13	5e-05	5	136.76	900.36	2934.44	4018.51	4334.64
?	0.13	5e-05	5	140.26	710.53	2507.56	3558.28	4417.88
?	0.14	5e-05	5	133.84	897.74	2433.48	3534.84	4421.64
?	0.14	3e-05	5	138.95	860.91	2424.04	3521.03	4464.56
?	0.15	2e-05	5	144.95	893.91	2375.76	3463.19	4466.23
?	0.16	1e-05	5	159.8	397.58	2623.92	3193.51	4488.51
?	0.16	1e-05	5	167.61	1009.48	2613.4	3501.36	4633.48
?	0.17	1e-05	5	181.16	1020.16	2538.63	3385.25	4563.61
?	0.18	1e-05	5	207.28	969.15	2342.65	3480.6	4420.13
?	0.18	1e-05	5	235.36	1088.91	2391.25	3684.94	4546.1
?	0.19	1e-05	4	223.28	1074.32	2480.26	3781.37	--undefined--
?	0.19	1e-05	4	203.76	2367.6	2673.26	3966.86	--undefined--
?	0.2	1e-05	4	197.68	1961.98	3090.12	4207.74	--undefined--
?	0.21	1e-05	5	172.74	1197.14	2145.9	3578.96	4383.18
?	0.21	1e-05	4	189.74	2312.37	3557.61	4431.1	--undefined--
?	0.22	5e-06	4	185.92	2290.01	3195.26	4402.2	--undefined--
?	0.23	3e-06	4	186.56	2150.16	3115.56	4317.83	--undefined--
?	0.23	2e-06	4	179.71	2237.86	3443.81	4073.08	--undefined--
?	0.24	2e-06	5	184.46	1841.19	2892.27	3711.95	4112.71
?	0.24	1e-06	5	185.03	1606.04	3034.65	3182.08	4428.91
?	0.25	1e-06	5	163.67	1777.34	2791.19	3247.63	4480.02
?	0.26	2e-06	5	172.22	1888.48	2485.03	3410.32	4420.94
?	0.26	3e-06	5	168.04	1660.98	2516.29	3447.93	4481.94
?	0.27	0.01	5	178.84	1822.65	2603.92	3334.01	4467.02
?	0.28	0.01	5	206.95	1481.41	2928.56	3349.44	4560.08
?	0.28	0.02	5	223.04	1692.59	2974.03	3497.14	4638.65
?	0.29	0.02	5	324.34	1651.63	3004.43	3537.76	4610.07
?	0.29	0.02	5	381.07	1535.87	3012.58	3492.33	4559.84
?	0.3	0.03	5	422.13	1286.15	2829.41	3548.95	4519.3
?	0.31	0.03	5	449.02	1184.47	2661.38	3705.59	4315.11
?	0.31	0.1	5	484.89	1138.13	2646.23	3903.74	4463.98
?	0.32	0.17	5	548.45	1130.16	2658.53	3954.51	4602.98
?	0.33	0.17	5	570.85	1141.26	2660.67	4003.02	4636.86
?	0.33	0.2	5	593.94	1137.09	2662	4037.88	4644.96
?	0.34	0.2	5	612.91	1148.6	2676.1	4063.17	4677.88
?	0.34	0.2	5	618.42	1156.8	2678.23	4087.96	4679.76
?	0.35	0.2	5	625.57	1153.71	2667.77	4075.71	4663.81
?	0.36	0.2	5	624.12	1141.25	2631.66	4004.49	4695.31
?	0.36	0.2	5	627.43	1139.09	2617.88	3995.52	4698.15
?	0.37	0.2	5	630.88	1131.07	2620.19	3986.18	4696.38
?	0.38	0.2	5	638	1122.86	2618.65	3928.17	4660.04
?	0.38	0.2	5	658.65	1132.81	2583.33	3816.5	4670.55
?	0.39	0.17	5	666.81	1125.6	2595.23	3844.54	4694.42
?	0.39	0.17	5	670.16	1111.1	2609.76	3890.28	4686.9
?	0.4	0.17	5	669.07	1127.72	2599.26	3890.57	4712.48
?	0.41	0.17	5	668.9	1123.96	2582.54	3862.58	4694.29
?	0.41	0.17	5	689.42	1112.21	2548.64	3844.85	4662.82
?	0.42	0.17	5	721.93	1114.32	2537.74	3891.21	4617.39
?	0.43	0.16	5	749.44	1112.54	2564.38	3915.66	4644.91
?	0.43	0.23	5	774.74	1097.76	2581.08	3877.34	4653.27
?	0.44	0.23	5	760.61	1097.18	2599.55	3847.76	4648.79
?	0.44	0.23	5	738.42	1107.1	2523.75	3834.15	4642.9
?	0.45	0.23	5	786.91	1131.36	2501.47	3848.56	4622.97
?	0.46	0.23	5	797.81	1140.63	2513.08	3879.86	4663.71
?	0.46	0.23	5	785.66	1125.34	2470.38	3907.72	4678.73
?	0.47	0.23	5	788.27	1113.45	2368.67	3884.42	4624.74
?	0.48	0.23	5	804.49	1108.03	2361.7	3902.19	4635.24
?	0.48	0.21	5	770.3	1147.88	2400.85	3912.55	4659.25
?	0.49	0.16	5	751.34	1164.47	2396.15	3872.09	4656.36
?	0.49	0.16	5	745.58	1184.97	2328.49	3894.81	4642.51
?	0.5	0.16	5	702.18	1213.09	2321.34	3911.66	4604.14
?	0.51	0.16	5	702.17	1203.06	2326.6	3909.76	4583.46
?	0.51	0.14	5	710.15	1213.81	2339.92	3972.21	4564.94
?	0.52	0.13	5	721.31	1183.56	2287.34	4010.03	4558.34
?	0.53	0.13	5	689.18	1136.04	2210.5	4008.83	4551.42
?	0.53	0.13	5	673.7	1142.31	2212.15	4024.78	4533.66
?	0.54	0.08	5	653.66	1133.6	2232.81	3997.14	4489.84
?	0.54	0.08	5	608.89	1122.7	2178.44	3912.48	4492.29
?	0.55	0.04	5	605.54	1131.99	2025.38	4083.2	4413.34
?	0.56	0.03	5	631.58	1155.32	2238.43	4269.75	4346.95
?	0.56	0.02	5	594.93	1151.79	2312.78	4241.69	4352.33
?	0.57	0.006	5	589.33	1058.76	2317.34	3864.73	4477.07
?	0.58	0.003	5	588.08	1047.55	2268.02	3921.6	4366.22
?	0.58	0.002	4	597.28	1012.01	2325.15	4311.54	--undefined--
?	0.59	0.002	4	479.83	1066.53	2323.31	4271.75	--undefined--
?	0.59	0.002	5	403.14	1129.11	2290.7	4163.72	4548.76
?	0.6	0.002	5	418.48	1103.79	2282.3	4268.69	5121.65
?	0.61	0.0006	5	333.24	1063.67	2270.37	3922.86	4361.13
?	0.61	0.0006	5	316.35	1098.23	2095.87	3336.37	4559.03
?	0.62	0.0005	5	315.15	1136.2	1996.73	3696.54	4657.65
?	0.63	0.0003	5	401.67	1090.99	1857.38	3798.59	4561.88
?	0.63	0.0002	4	582.34	976.73	2687.75	4287.69	--undefined--
?	0.64	0.0001	5	406.94	873.07	2340.2	3415.77	4286.31
?	0.64	9e-05	5	439.12	1095.81	2356.63	3318.23	4353.48
?	0.65	9e-05	5	401.06	1112.61	2496.5	3085.54	4429.49
?	0.66	4e-05	5	414.44	1062.06	2305.49	2946.63	4513.4
?	0.66	3e-05	5	371.29	951.72	2670.05	3276.83	4742.39
?	0.67	3e-05	5	324.42	966.12	2763.64	3649.65	4713.7
