rowLabel	time(s)	intensity	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
?	0.03	3e-05	5	222.32	965.19	2686.23	3574.12	4640.9
?	0.03	4e-05	5	165.5	857.36	3040.73	3096.66	4421.65
?	0.04	4e-05	5	175.45	851.41	2374.46	3101.93	4405.55
?	0.05	4e-05	4	180.67	986.98	2703.01	3968.64	--undefined--
?	0.05	5e-05	4	167.54	1033.09	2787.8	3855.27	--undefined--
?	0.06	5e-05	4	158.19	987.14	2706.08	3888.48	--undefined--
?	0.06	5e-05	5	153.96	817.49	2634.08	3483.84	4139.97
?	0.07	5e-05	5	150.23	766.76	2634.27	3895.86	4114.54
?	0.08	5e-05	5	142.83	898.57	2822.26	3138.73	4450.03
?	0.08	5e-05	5	139.11	895.94	2732.65	3649.35	4294.63
?	0.09	5e-05	5	139.8	934.56	2539.9	3428.02	4382.89
?	0.1	5e-05	5	136.54	1083.15	2444.01	3483.71	4395.56
?	0.1	5e-05	5	144.07	1130.56	2770.96	3044.59	4361.65
?	0.11	2e-05	5	158.73	1109.6	2633.82	3379.62	4482.68
?	0.11	1e-05	5	180.54	1141.62	2472.17	3481.89	4430.98
?	0.12	1e-05	5	193.37	1041.58	2398.3	3601.38	4458.38
?	0.13	1e-05	5	174.41	1043.99	2501.49	3741.17	4232.01
?	0.13	1e-05	4	159.62	2096.44	3202.05	4278.9	--undefined--
?	0.14	1e-05	5	149.53	1508.17	2370.81	3503.19	4416.86
?	0.15	1e-05	5	150.32	2206.69	2364.84	3287.39	4375.24
?	0.15	1e-05	5	149.49	2268.6	2780.3	3316.45	4265.92
?	0.16	3e-06	5	147.84	1865.14	2636.44	3498.04	4418.98
?	0.16	3e-06	5	145.35	1681.35	2731.94	3296.55	4528.51
?	0.17	0.005	5	140.12	1789.69	2657.11	3456.29	4495.89
?	0.18	0.005	5	144.77	1647.83	2627.1	3452.28	4488.71
?	0.18	0.005	5	150.34	1697.83	2978.52	3498.62	4636.56
?	0.19	0.01	5	270.43	1680.35	2992.43	3533.99	4620.7
?	0.2	0.03	5	372.17	1637.14	2978.4	3579.55	4586.73
?	0.2	0.06	5	429.55	1596.92	2750.06	3724.93	4495.39
?	0.21	0.14	5	483.69	1585.09	2652.85	3943.1	4491.08
?	0.21	0.16	5	547.71	1563.22	2651.01	3990.58	4624.14
?	0.22	0.17	5	594.02	1533.93	2667.1	4041.23	4648.77
?	0.23	0.17	5	614.8	1509.91	2674.8	4056.21	4688.51
?	0.23	0.17	5	621.75	1489.06	2647.06	4033.05	4707.53
?	0.24	0.17	5	625.09	1454.44	2627.08	3999.97	4704.98
?	0.25	0.17	5	633.79	1416.72	2623.75	3987.23	4702.3
?	0.25	0.17	5	648.5	1380.91	2624.97	3956.96	4692.04
?	0.26	0.17	5	669.41	1352.93	2607.74	3891.74	4702.5
?	0.26	0.17	5	668.91	1318.64	2620.84	3914.88	4718.19
?	0.27	0.16	5	673.91	1278.49	2596.63	3883.93	4723.84
?	0.28	0.16	5	708.69	1221.67	2559.39	3878.72	4696.13
?	0.28	0.2	5	756.09	1194.65	2574.11	3918.88	4670.32
?	0.29	0.22	5	769.4	1164.21	2589.37	3883.99	4671.72
?	0.3	0.22	5	740.99	1138.06	2531.94	3842.71	4647
