rowLabel	time(s)	intensity	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
?	0.03	3e-07	4	603.71	2561.08	4102.77	4896.37	--undefined--
?	0.03	6e-07	3	606.32	2577.4	4075.71	--undefined--	--undefined--
?	0.04	7e-07	3	612.88	2496.72	4179.02	--undefined--	--undefined--
?	0.04	9e-07	4	604.37	2580.02	4287.38	5126.57	--undefined--
?	0.05	1e-06	4	600.43	675.55	2999.63	4248.45	--undefined--
?	0.06	1e-06	3	596.44	2763.87	4056.24	--undefined--	--undefined--
?	0.06	1e-06	4	205.33	660.43	2914.83	4244.53	--undefined--
?	0.07	2e-06	4	206.16	1003.8	2980.68	4361.27	--undefined--
?	0.08	2e-06	4	192.22	844.94	2955.44	4313.44	--undefined--
?	0.08	2e-06	4	182.65	899.1	2961.46	4234.99	--undefined--
?	0.09	2e-06	5	179.7	705.78	2680.58	3696.37	5046.15
?	0.09	2e-06	5	168.43	632.48	2598.55	3673.8	4916.5
?	0.1	2e-06	5	157.26	632.06	2681.34	3884.53	5154.11
?	0.11	2e-06	5	157.82	626.51	2706.5	3964.09	5220.57
?	0.11	2e-06	4	149.72	717.76	2713.73	4109.52	--undefined--
?	0.12	2e-06	5	141.55	700.55	2682.1	3865.8	4909.42
?	0.13	2e-06	5	132.9	659.83	2625.76	3817.03	5054.44
?	0.13	2e-06	5	129.04	642.92	2649.2	3990.15	5144.66
?	0.14	2e-06	5	104.11	631.81	2661.87	3827.16	4998
?	0.14	1e-06	5	91.28	629.83	2634.76	3743.04	5005.75
?	0.15	1e-06	4	611.22	2771.05	3785.14	5006.69	--undefined--
?	0.16	7e-07	4	592.68	2709.62	3883.49	5099.96	--undefined--
?	0.16	6e-07	3	584.59	2735.03	4036.96	--undefined--	--undefined--
?	0.17	5e-07	5	140.16	607.2	2721.51	4252.17	5213.98
?	0.18	5e-07	5	214.72	636.42	2660.04	4214.48	5273.71
?	0.18	5e-07	5	245.68	602.49	2853.49	4144.45	4941.77
?	0.19	5e-07	5	239.79	564.4	2787.71	3780.08	4951.13
?	0.19	5e-07	5	222.64	535.47	2797.11	3860.45	4963.14
?	0.2	5e-07	4	364.19	2428.79	3537.89	4350.66	--undefined--
?	0.21	5e-07	4	467.31	2351.39	3794.79	4795.98	--undefined--
?	0.21	5e-07	4	383.77	2696.38	3947.83	5028.92	--undefined--
?	0.22	2e-07	4	458.43	2716.15	2860.06	4210.14	--undefined--
?	0.23	1e-07	4	393.39	2190.28	3341.63	4349.23	--undefined--
?	0.23	1e-07	4	321.54	2256.17	3270.27	4436.05	--undefined--
?	0.24	1e-07	4	257.22	2458.99	3236.76	4391.15	--undefined--
?	0.24	6e-08	4	191.31	2209.33	3340.93	4320.22	--undefined--
?	0.25	6e-08	4	170.12	2138.62	3319.68	4305.42	--undefined--
?	0.26	6e-08	4	166.71	2226.69	3183.78	4318.94	--undefined--
?	0.26	2e-07	4	165.04	2401	2509.71	3856.03	--undefined--
?	0.27	0.001	4	171.23	1885.86	2858.27	3855.62	--undefined--
?	0.28	0.001	4	188.68	1802.44	3022.34	3940.55	--undefined--
?	0.28	0.004	5	339.46	1703.18	2890.37	3194.59	4666.12
?	0.29	0.004	5	399.76	1680.02	2918.77	3172.99	4632.84
?	0.29	0.007	5	402.47	1642.9	2961.43	3106.18	4583.49
?	0.3	0.01	5	428.32	1535.57	2590.92	3098.27	4513.66
?	0.31	0.02	5	469.44	1501.04	2147.09	2911.38	4228.24
?	0.31	0.07	4	527.01	1499.22	2665.8	4347.13	--undefined--
?	0.32	0.25	5	588.67	1539.14	2653.51	3923.03	4547.33
?	0.33	0.25	5	620.92	1482.46	2653.48	4008.11	4568.54
?	0.33	0.29	5	648.89	1362.43	2663.32	4048.58	4562.67
?	0.34	0.29	5	654.3	1326.31	2666.48	4041.51	4616.82
?	0.34	0.29	5	661.68	1321.56	2672.71	4049.54	4662.32
?	0.35	0.29	5	663.75	1302.2	2636.99	4040.74	4700.7
?	0.36	0.29	5	668.2	1271.74	2621.62	4024	4703.63
?	0.36	0.29	5	672.31	1261.65	2621.75	4028.78	4681.04
?	0.37	0.29	5	670.57	1245.83	2610.82	4003.77	4657.79
?	0.38	0.29	5	684.09	1251.24	2622.77	3990.93	4642.78
?	0.38	0.29	5	700.41	1264.75	2606.4	3905.25	4551.38
?	0.39	0.22	5	700.96	1260.48	2589.88	3511.88	4570.28
?	0.39	0.21	5	702.82	1229.92	2589.54	3338.8	4683.05
?	0.4	0.13	5	704.7	1113.79	2595.21	4003.02	4655.06
?	0.41	0.15	5	695.05	1069.92	2600.25	3894.7	4772.75
?	0.41	0.15	5	743.29	1104.87	2569.32	3912.35	4617.46
?	0.42	0.15	5	789.82	1121.06	2562.3	3973.15	4091.45
?	0.43	0.16	5	818.41	1105.37	2579.27	3937.94	4100.93
?	0.43	0.34	5	830.11	1067.82	2587.98	3783.46	4276.49
?	0.44	0.38	5	816.19	1064.5	2665.03	3712.23	4280.53
?	0.44	0.38	5	872.48	1115.36	2556.78	3655.06	4155.27
?	0.45	0.38	5	941.13	1192.35	2527	3623.81	4598.2
?	0.46	0.38	5	981.18	1221.12	2542.59	3762.65	4674.39
?	0.46	0.38	5	1007.39	1236.53	2490.81	3844.13	4660.01
?	0.47	0.38	5	1022.34	1233.7	2177.24	3824.77	4604.78
