rowLabel	time(s)	intensity	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
?	0.03	3e-06	5	246.65	1254.7	2696.42	3703.35	4704.96
?	0.03	8e-06	5	235.24	985.53	2516.2	3688.54	4690.59
?	0.04	8e-06	5	241.8	970.12	2482.62	3627	4717.79
?	0.04	2e-05	4	198.23	937.09	3118.06	4323.73	--undefined--
?	0.05	3e-05	4	170.3	876.18	2988.77	4320.24	--undefined--
?	0.06	3e-05	5	170.18	826.62	2518.01	2928.77	4473.62
?	0.06	3e-05	5	177.07	856.85	2403.76	2918.05	4512.3
?	0.07	4e-05	5	180.62	975.71	1988.57	2941.1	4483.77
?	0.08	4e-05	4	172.08	1057.12	2827.8	4445.98	--undefined--
?	0.08	4e-05	4	162.17	1036.11	2822.16	4296.52	--undefined--
?	0.09	4e-05	4	158.51	999.05	2729.72	4041	--undefined--
?	0.09	5e-05	4	156.49	897.07	2677.52	3944.77	--undefined--
?	0.1	5e-05	5	152.45	714.39	2614.76	3927.87	5380.84
?	0.11	5e-05	5	151.08	702.02	2532.24	3517.61	4088.51
?	0.11	5e-05	5	144.89	893.18	2564.08	2885.29	4344.3
?	0.12	5e-05	5	139.97	910	2821.4	3966.65	4294.65
?	0.13	5e-05	4	136.91	900.08	2849.29	3840.82	--undefined--
?	0.13	5e-05	5	140.14	714.89	2484.06	3616.7	4436.9
?	0.14	5e-05	5	133.91	912.46	2430.73	3544.19	4482.5
?	0.14	3e-05	5	138.94	860.16	2430.26	3498.65	4444.12
?	0.15	2e-05	5	145.97	836.67	2358.88	3489.79	4449.98
?	0.16	1e-05	4	162.73	2542.04	2884.57	4198.74	--undefined--
?	0.16	1e-05	5	168.17	1053.02	2704.51	3682.19	4230.87
?	0.17	1e-05	5	180.56	1112.76	2796.57	3702.67	4229.34
?	0.18	1e-05	5	206.47	1136.46	2485.18	3553.72	4335.29
?	0.18	1e-05	5	235.7	1063.54	2453.73	3809.77	4556.36
?	0.19	1e-05	4	223.58	1515.42	2608.06	3933.37	--undefined--
?	0.19	1e-05	4	203.63	2307.22	2790.04	4137.94	--undefined--
?	0.2	1e-05	4	197.64	2070.93	3120.97	4230.44	--undefined--
?	0.21	1e-05	5	173.57	1877.88	3045.63	3100.74	4329.71
?	0.21	1e-05	4	190.02	2306.41	3464.54	4380.76	--undefined--
?	0.22	6e-06	4	185.4	2307.56	3290.66	4380.88	--undefined--
?	0.23	2e-06	4	187.51	2237.9	3247.75	4294.29	--undefined--
?	0.23	2e-06	4	181.98	2346.75	3253.35	3973.68	--undefined--
?	0.24	2e-06	5	183.59	1594.92	2550.35	3576.66	4401.79
?	0.24	1e-06	5	185.46	1403.75	2581.08	3372.64	4544.05
?	0.25	1e-06	5	166.57	1517.56	2581.43	3404.92	4546.89
?	0.26	2e-06	5	170.42	1809.78	2461.31	3478.52	4453.33
?	0.26	4e-06	5	167.99	1661.48	2369.62	3445.23	4490.91
?	0.27	0.0009	5	179.67	1957.14	2615.32	3363.91	4430.37
?	0.28	0.003	5	206.49	1455.63	2914.23	3601.32	4546.65
?	0.28	0.007	5	209.84	1699.22	2961.83	3439.87	4622.92
?	0.29	0.007	5	329.82	1653	2989.54	3533.02	4598.92
?	0.29	0.01	5	380.98	1521.57	2940.76	3546.5	4543.99
?	0.3	0.02	5	423.98	1461.16	2693.11	3652.58	4469.49
?	0.31	0.02	5	454.5	1469.33	2701.14	3717.56	4279.81
?	0.31	0.05	5	492.9	1461.34	2679.08	3933.01	4427.58
?	0.32	0.16	5	549.94	1451.36	2675.01	4017.3	4570.7
?	0.33	0.16	5	571.54	1433.03	2663.07	4018.83	4625.99
