rowLabel	time(s)	intensity	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
?	0.03	3e-07	3	608.53	2735.33	4217.86	--undefined--	--undefined--
?	0.03	6e-07	3	614.24	2841.37	4229.37	--undefined--	--undefined--
?	0.04	6e-07	4	613.67	1418.43	2973.11	4231.42	--undefined--
?	0.04	9e-07	4	613.9	1744.82	2999.32	4165.56	--undefined--
?	0.05	1e-06	3	611.99	2825.49	4169.66	--undefined--	--undefined--
?	0.06	1e-06	3	605.59	2615.81	4035.94	--undefined--	--undefined--
?	0.06	2e-06	4	198.08	658.72	2924.61	4103.92	--undefined--
?	0.07	2e-06	5	200.16	719.2	2592.23	3545.85	4980.19
?	0.08	2e-06	4	189.12	850.82	2943.7	4205.5	--undefined--
?	0.08	2e-06	4	182.97	864.84	2994.59	4280.23	--undefined--
?	0.09	2e-06	4	167.21	655.86	2604.45	4255.27	--undefined--
?	0.09	2e-06	4	163.97	639.62	2580.35	4281.99	--undefined--
?	0.1	2e-06	5	158.03	637.99	2577.07	4079.95	5052.83
?	0.11	2e-06	5	158.17	622.65	2662.27	3914.29	4988.97
?	0.11	2e-06	5	146.85	656.83	2666.34	3853.13	5058.71
?	0.12	2e-06	5	139.9	657.02	2660.29	3933.43	5109.75
?	0.13	2e-06	5	133.09	644.22	2687.45	3937.24	5115.13
?	0.13	2e-06	5	127.89	633.94	2799.31	3658.06	4903.5
?	0.14	2e-06	4	617.8	2754.95	3622.1	4845.94	--undefined--
?	0.14	1e-06	4	613.68	2679.85	3858.04	4997.64	--undefined--
?	0.15	1e-06	4	618.03	2640.65	3885.99	4849.42	--undefined--
?	0.16	8e-07	4	615.49	2586.89	3990.89	4834.01	--undefined--
?	0.16	6e-07	4	610.34	2604.66	3919.24	4855.56	--undefined--
?	0.17	6e-07	5	90.44	586.2	2617.38	3846.84	5140.31
?	0.18	6e-07	4	199.72	572.02	2575.44	3853.4	--undefined--
?	0.18	6e-07	4	539.77	2644.47	3844.99	4949.69	--undefined--
?	0.19	6e-07	5	181.1	559.68	2723.29	3865.67	4975.24
?	0.19	6e-07	5	200.79	625.17	2768.81	3941.4	5128.35
?	0.2	5e-07	5	145.94	541.62	2787.02	4029.62	5228.14
?	0.21	5e-07	4	524.43	2699.06	3925.17	5366.23	--undefined--
?	0.21	5e-07	3	448.08	2766.53	3930.15	--undefined--	--undefined--
?	0.22	3e-07	4	502.45	2483.65	3849.52	4835.52	--undefined--
?	0.23	1e-07	4	476.29	2280.81	3368.28	4447.78	--undefined--
?	0.23	7e-08	4	440.08	2303.31	3385.96	4446.23	--undefined--
?	0.24	7e-08	4	333.39	2397.29	3430.4	4411.67	--undefined--
?	0.24	6e-08	4	191.47	2464.04	3043.96	4223.85	--undefined--
?	0.25	6e-08	4	170.56	2122.25	3277.43	4253.2	--undefined--
?	0.26	6e-08	4	172.01	2111.12	3279.91	4284.82	--undefined--
?	0.26	2e-07	4	167.43	2070.77	3106.37	4314.17	--undefined--
