rowLabel	time(s)	intensity	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
?	0.03	3e-07	4	610.94	2707.07	3918.7	4910.55	--undefined--
?	0.03	7e-07	4	610.32	2691.74	4012.89	4846.96	--undefined--
?	0.04	7e-07	4	615.41	2658.43	3860.43	4806.39	--undefined--
?	0.04	1e-06	4	607.72	2485.39	3648.1	4679.79	--undefined--
?	0.05	1e-06	4	612.85	2657.42	3908.6	4815.09	--undefined--
?	0.06	1e-06	4	605.82	2695.8	3762.8	4961.39	--undefined--
?	0.06	1e-06	4	204.98	619.57	2557.59	3836.05	--undefined--
?	0.07	2e-06	4	200.64	802.51	2652.06	3914.42	--undefined--
?	0.08	2e-06	4	191.36	838.34	3037.37	4208.94	--undefined--
?	0.08	2e-06	4	181.61	879.99	3159.2	4191.62	--undefined--
?	0.09	2e-06	4	179.31	675.11	2958.21	3989.13	--undefined--
?	0.09	2e-06	4	167.04	640.51	2864.35	3705.17	--undefined--
?	0.1	2e-06	5	157.34	639.26	2856.98	3485.09	4989.67
?	0.11	2e-06	5	160.77	617.92	2766.68	3601.55	5227.2
?	0.11	2e-06	4	150.88	706.69	2630.1	3651.69	--undefined--
?	0.12	2e-06	5	140.73	684.7	2638.29	3662.16	5073.29
?	0.13	2e-06	5	131.06	647.72	2714.69	3729.71	4854.15
?	0.13	2e-06	5	127.26	637.65	2717.78	3891.67	4925.45
?	0.14	2e-06	5	74.08	630.18	2745.15	3981.2	5027.33
?	0.14	1e-06	5	69.35	626.79	2744.36	3994.31	4804.63
?	0.15	1e-06	4	596.52	2653.76	3775.72	4731.15	--undefined--
?	0.16	8e-07	4	587.19	2584.22	3837.52	4884.25	--undefined--
?	0.16	6e-07	4	598.96	2752.36	3963.33	4897.92	--undefined--
?	0.17	5e-07	5	111.89	603.15	2858.27	4197.32	5107.04
?	0.18	5e-07	5	217.25	583.08	2945.64	3698.56	4827.98
?	0.18	5e-07	5	155.11	526.44	2722.81	3816.78	4987.22
?	0.19	5e-07	5	225.61	577.06	2641.85	3991.8	4841.81
?	0.19	5e-07	5	211.18	599.38	2756.63	3980.8	4788.77
?	0.2	5e-07	4	405.17	2708.68	3885.79	5198.17	--undefined--
?	0.21	5e-07	4	493.52	2721.46	2779.86	4221.14	--undefined--
?	0.21	5e-07	4	421.96	2119.3	3007.97	4211.78	--undefined--
?	0.22	2e-07	4	491.03	2683.73	3159.87	4442.66	--undefined--
?	0.23	1e-07	4	450	2404.85	3401.69	4654.78	--undefined--
?	0.23	1e-07	4	383.25	2304.1	3409.41	4576.52	--undefined--
?	0.24	1e-07	4	227.14	2302.99	3685.29	4685.85	--undefined--
?	0.24	6e-08	4	191.29	2129.51	3463.48	4585.48	--undefined--
?	0.25	6e-08	5	169.34	1601.99	3256.14	4350.67	4700.87
?	0.26	6e-08	4	166.57	1825.21	3163.99	4368.42	--undefined--
?	0.26	2e-07	4	166.04	2182.04	3283.69	4316.19	--undefined--
?	0.27	0.0004	5	172.62	1856.3	2931.48	3876.37	5097.86
?	0.28	0.001	4	188.93	1852.1	2993.77	4139.68	--undefined--
?	0.28	0.005	4	332.78	1706.51	2861.56	3193.68	--undefined--
?	0.29	0.005	5	392.53	1663.83	2237.52	3076.05	3422.82
?	0.29	0.006	5	403.28	1627.41	1846.6	3053.38	3391.54
?	0.3	0.02	5	427.12	1364.15	1649.28	3057.31	3610.15
?	0.31	0.04	5	467.51	1469.21	1591.38	2903.86	4107.08
?	0.31	0.08	4	526.23	1481.49	2682.58	4312.23	--undefined--
?	0.32	0.27	5	596.94	1444.35	2660.06	3926.88	4576.3
?	0.33	0.27	5	622.99	1315.29	2652.84	3985.66	4635.15
?	0.33	0.3	5	642.22	1251.76	2657.06	4031.86	4624.82
?	0.34	0.3	5	650.71	1254.63	2670.84	4041.27	4626.99
?	0.34	0.3	5	659.15	1261.41	2676.51	4049.12	4665.04
?	0.35	0.3	5	661.4	1249.59	2639.63	4040.79	4701.81
?	0.36	0.3	5	665.5	1236.27	2622.52	4024.25	4705.14
?	0.36	0.3	5	670.63	1235.69	2621.06	4033.53	4688.81
?	0.37	0.3	5	673.79	1224.84	2609.74	4023.42	4696.95
