rowLabel	time(s)	intensity	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
?	0.03	3e-05	5	222.1	969.74	2702.21	3574.62	4635.23
?	0.03	4e-05	5	166.43	855.72	2936.8	3152.2	4457.07
?	0.04	4e-05	5	175.69	855.42	2344.27	3116.44	4446.28
?	0.05	4e-05	4	180.58	978.45	2669.03	3875.59	--undefined--
?	0.05	5e-05	4	167.41	1024.52	2754.21	3706.37	--undefined--
?	0.06	5e-05	4	158.31	994.82	2745.38	3952.01	--undefined--
?	0.06	5e-05	4	155.1	861.43	2680.34	3987.84	--undefined--
?	0.07	5e-05	5	150.39	754.54	2644.23	3525.86	4076.87
?	0.08	5e-05	5	142.76	882.81	2799.06	2896.02	4353.36
?	0.08	5e-05	5	139.08	885.39	2680.59	3426.4	4339.21
?	0.09	5e-05	5	139.92	940.56	2536.9	3394.3	4361.08
?	0.1	5e-05	5	136.48	1079.28	2427	3498.71	4444.17
?	0.1	5e-05	5	143.79	1079.17	2639.29	3203.04	4448.84
?	0.11	2e-05	5	158.36	1075.06	2610.45	3282.38	4454.56
?	0.11	1e-05	5	180.28	1114.11	2462.71	3422.28	4406.29
?	0.12	1e-05	5	193.15	1040.53	2402.02	3612.61	4448.05
?	0.13	1e-05	5	174.23	1038.32	2514.71	3698.13	4250.09
?	0.13	1e-05	5	159.42	1674.67	2014.19	3172.74	4230.5
?	0.14	1e-05	5	149.42	1542.42	2430.03	3583.65	4381.74
?	0.15	1e-05	5	150.25	2067.87	2751.44	3241.12	4315.22
?	0.15	1e-05	5	149.55	2209.79	3254.09	4118.28	4471.46
?	0.16	3e-06	5	147.8	1814.61	2550.92	3479.91	4369.54
?	0.16	3e-06	5	145.47	1697.73	2675.86	3272.61	4500.81
?	0.17	0.005	5	140.19	1964.24	2628.52	3383.3	4503.88
?	0.18	0.005	5	144.81	1733.35	2756.97	3377.95	4454.77
?	0.18	0.005	5	150.43	1697.42	2978.73	3501.89	4635.43
?	0.19	0.01	5	272.01	1678.11	2993.7	3529.78	4620.4
?	0.2	0.02	5	374.06	1625.57	2981.29	3569.6	4585.87
?	0.2	0.06	5	431.3	1558.48	2754.27	3717.04	4494.93
?	0.21	0.13	5	483.42	1547.42	2653.83	3946.91	4489.11
?	0.21	0.17	5	547.44	1534.29	2651.8	3993.64	4622.53
?	0.22	0.18	5	594.54	1507.53	2666.49	4043.15	4645.97
?	0.23	0.18	5	615.82	1474.33	2672.15	4056.06	4686.28
?	0.23	0.18	5	622.78	1439.47	2644.67	4031.89	4706.26
?	0.24	0.18	5	625.38	1399.49	2626.34	3999.26	4704.79
?	0.25	0.18	5	633.77	1376.38	2623.61	3987.06	4702.24
?	0.25	0.18	5	648.96	1342.58	2624.07	3956.43	4691.57
?	0.26	0.18	5	669.44	1317.03	2607.37	3891.26	4702.59
?	0.26	0.18	5	668.95	1297.16	2620.71	3914.88	4717.94
?	0.27	0.16	5	673.44	1257.03	2596.6	3883.85	4724.03
?	0.28	0.16	5	706.75	1205.91	2560.39	3878.96	4696.62
?	0.28	0.2	5	755.34	1184.53	2574.3	3918.88	4670.32
?	0.29	0.22	5	770.05	1155.1	2589.2	3883.81	4671.49
?	0.3	0.22	5	740.66	1133.67	2531.81	3842.54	4646.94
?	0.3	0.22	5	777.96	1138.58	2506.1	3866.52	4656.86
?	0.31	0.22	5	774.59	1129.91	2477.37	3901.06	4684.1
?	0.31	0.22	5	793.31	1111.54	2389.32	3901.64	4650.53
?	0.32	0.22	5	773.55	1141.36	2389	3914.73	4668.54
?	0.33	0.22	5	754.07	1175.49	2357.04	3890.18	4662.08
?	0.33	0.22	5	713.96	1201.05	2327.63	3906.82	4618.49
?	0.34	0.19	5	705.16	1202.32	2332.3	3931.08	4577.46
?	0.35	0.19	5	714.68	1180.52	2292.91	3991.09	4557.87
?	0.35	0.16	5	686.48	1148.38	2242.48	3989.32	4533.92
?	0.36	0.16	5	654.05	1141.32	2244.89	3987.25	4492.84
?	0.36	0.08	5	602.28	1137.58	2160.54	3971.57	4466.28
?	0.37	0.07	5	616.93	1165.17	2228.17	4202.72	4350.36
?	0.38	0.02	5	592.33	1120.34	2298.48	4083.89	4378.42
?	0.38	0.02	5	577.5	1049.95	2229.74	3969.82	4362.16
?	0.39	0.005	5	528.28	1054.33	2251.82	4275.66	4401.09
?	0.4	0.002	5	431.89	1127	2293.5	4236.68	4603.63
?	0.4	0.002	5	394.9	1084.02	2253.19	4333.81	4338.39
?	0.41	0.002	5	326.33	1093.42	2078.57	3567.5	4548.16
?	0.41	0.0007	5	368.96	1092.12	2055.95	3721.33	4578.87
?	0.42	0.0003	5	483.96	989.45	2258.32	3566.23	4370.08
?	0.43	0.0002	5	457.63	972.2	2252.6	3407.64	4301.98
?	0.43	0.0001	5	401.28	1077.99	2435.92	3133.04	4416.99
?	0.44	8e-05	5	386.64	996.04	2737.25	3017	4648
?	0.45	5e-05	5	329.45	952.61	2651.49	3613.65	4695.14
?	0.45	0.0002	5	199.15	944.97	2635.06	3625.07	4544.73
?	0.46	0.0002	5	289.36	1035.58	2809.86	3776.57	4537.46
?	0.46	0.0002	4	1173.97	3115.74	4042.11	4761.43	--undefined--
?	0.47	0.0002	5	542.35	2137.03	2920.73	4165.41	4773.58
?	0.48	0.0002	4	1264.6	2905.09	4209.07	4780.81	--undefined--
?	0.48	0.004	4	1241.47	2700.38	3948.98	4739.6	--undefined--
?	0.49	0.004	5	498.53	1451.15	2413.28	3484.5	4613.26
?	0.5	0.01	4	1321.46	1534	3095.72	4460.78	--undefined--
?	0.5	0.01	4	1339.54	1534.28	3060.27	4452.61	--undefined--
