rowLabel	time(s)	intensity	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
?	0.03	3e-05	5	222.96	982.07	2685.8	3462.58	4609.96
?	0.03	4e-05	5	164.75	851.08	2746.6	3146.61	4428.8
?	0.04	4e-05	5	175.49	853.63	2431.51	3245.24	4396.9
?	0.05	4e-05	5	179.87	938.53	2567.47	2878.82	4210.72
?	0.05	5e-05	5	166.52	984.23	2850	3150.95	4107.41
?	0.06	5e-05	4	157.87	971.9	2736.91	3987.56	--undefined--
?	0.06	5e-05	4	155.98	939.81	2662.01	3955.74	--undefined--
?	0.07	5e-05	5	150.56	769	2594.88	3947.06	5018.26
?	0.08	5e-05	5	142.56	874.59	2754.33	3020.4	4538.66
?	0.08	5e-05	5	138.96	877.45	2629.64	3397.82	4434.34
?	0.09	5e-05	5	139.94	918.13	2524.58	3396.5	4448.14
?	0.1	5e-05	5	136.56	1085.77	2454.44	3455.55	4394.23
?	0.1	4e-05	5	144.24	1199.89	2829.95	3099.81	4334.59
?	0.11	2e-05	5	158.82	1102.09	2618.4	3393.38	4507.2
?	0.11	1e-05	5	180.56	1133.06	2439.05	3453.32	4536.42
?	0.12	1e-05	5	193.58	1069.33	2401.9	3639.96	4611.25
?	0.13	1e-05	5	174.47	1123.79	2565.21	3882.23	4592.26
?	0.13	1e-05	5	159.35	1489.65	2436.06	3213.82	4280.81
?	0.14	1e-05	5	149.54	1727.15	2366.03	3498.99	4413.48
?	0.15	1e-05	5	150.39	2241.72	2348.34	3238.07	4343.42
?	0.15	1e-05	4	149.67	2254.08	3304.15	4197.23	--undefined--
?	0.16	3e-06	5	147.84	1752.74	2554.32	3476.47	4439.1
?	0.16	3e-06	5	145.33	1599.25	2659.64	3314.75	4573.18
?	0.17	0.005	5	140.05	1746.07	2630.93	3424.54	4504.42
?	0.18	0.005	5	144.81	1689.14	2565.95	3405.24	4476.87
?	0.18	0.009	5	150.15	1695.23	2979.96	3492.09	4636.76
?	0.19	0.01	5	279.52	1667.55	3000.11	3508.47	4617.79
?	0.2	0.02	5	385.99	1576.04	3001.67	3500.94	4578.32
?	0.2	0.06	5	440.32	1356.42	2752.98	3669.54	4490.11
?	0.21	0.17	5	486.89	1301.33	2644.86	3956.73	4461.14
?	0.21	0.2	5	552.38	1262.87	2643.28	3989.26	4611.66
?	0.22	0.21	5	597.43	1243.61	2660.77	4038.7	4642.59
