rowLabel	time(s)	intensity	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
?	0.03	9e-07	5	147.01	721.87	2673.34	3772.8	5084.3
?	0.03	1e-06	4	661.29	2678.06	3824.24	5134.32	--undefined--
?	0.04	1e-06	5	172.47	729.62	2721.69	3685.91	5000.08
?	0.05	2e-06	5	185.41	897.39	2765.94	3864.12	5380.1
?	0.05	2e-06	4	176.52	877.85	2798.66	4295.04	--undefined--
?	0.06	2e-06	5	164.9	774.21	2684.55	3957.18	4957.25
?	0.06	2e-06	5	160.84	700.5	2565.49	3754.89	4996.06
?	0.07	2e-06	5	153.17	724.92	2678.24	3899.68	4906.16
?	0.08	2e-06	5	144.09	781.62	2834.86	4038.6	4922.54
?	0.08	2e-06	5	140.13	789.97	2861.36	4079.1	5230.2
?	0.09	2e-06	5	141.43	825.81	2875.99	4006.06	4642.31
?	0.1	1e-06	5	138.52	664.03	2618.64	3702.37	4887.35
?	0.1	1e-06	4	146.26	2418.05	3742.87	5044.36	--undefined--
?	0.11	7e-07	4	163.65	2484.51	3408.35	4178.86	--undefined--
?	0.11	3e-07	4	183.32	2444.06	3402.97	4263.26	--undefined--
?	0.12	3e-07	4	192.35	2684.54	3149.07	4243.17	--undefined--
?	0.13	3e-07	4	174.54	2302.98	3140.74	4262.31	--undefined--
?	0.13	3e-07	4	159.78	2250.04	3015.31	4220.33	--undefined--
?	0.14	3e-07	4	149.55	2440.7	3060.49	4200.07	--undefined--
?	0.15	3e-07	4	150.74	2335.37	3515.2	4394.61	--undefined--
?	0.15	3e-07	4	147.82	1946.65	3006.21	4124.5	--undefined--
?	0.16	1e-07	4	144.87	1803.42	3031.09	4045.54	--undefined--
?	0.16	1e-07	5	143.38	1832.52	2945.38	4067.19	5156.94
?	0.17	5e-05	5	136.71	1904.9	2932.62	3921.08	4857.57
?	0.18	0.0003	5	139.29	2005.49	3194.1	3560.57	4900.19
?	0.18	0.004	4	281.6	1713.62	3070.06	4153.92	--undefined--
?	0.19	0.02	4	401.7	1675.85	3044.8	3472.63	--undefined--
?	0.2	0.04	4	438.06	1545.16	3053.74	3955.59	--undefined--
?	0.2	0.09	5	473.73	1140.75	2716.68	2727.63	4082.27
?	0.21	0.18	5	517.82	1093.3	2647.39	4089.66	4464.47
?	0.21	0.24	5	595.96	1116.47	2651.02	4012.33	4642.21
?	0.22	0.27	5	639.48	1151	2669.23	4047.86	4649.95
?	0.23	0.27	5	653.71	1167.77	2671.42	4057.25	4683.79
?	0.23	0.27	5	663.33	1169.04	2642.7	4034.25	4701.22
?	0.24	0.27	5	673.99	1165.16	2626.52	4007.65	4699.41
?	0.25	0.27	5	693.43	1158.6	2621.99	4002.22	4694.35
?	0.25	0.27	5	718.27	1151.5	2620.19	3989.83	4675.41
?	0.26	0.27	5	743.43	1146.43	2602.3	3929.82	4680.16
?	0.26	0.27	5	741.01	1150.19	2607.81	3932.7	4707.56
?	0.27	0.2	5	753.49	1148.26	2604.81	3882.74	4713.52
?	0.28	0.25	5	815.06	1148	2573.79	3870.37	4659.36
?	0.28	0.35	5	865.02	1167.17	2583.54	3905.87	4576.6
?	0.29	0.35	5	904.2	1174.16	2603.24	3861.79	4562.06
?	0.3	0.35	5	929.87	1183.86	2568.92	3808.72	4539.89
?	0.3	0.35	5	972.69	1212.32	2528.98	3824.43	4641.78
?	0.31	0.35	5	1013.53	1220.48	2497.92	3877.47	4666.34
?	0.31	0.35	5	991.13	1222.9	2390.06	3876.27	4635.47
?	0.32	0.35	5	960.67	1220.24	2368.94	3880.19	4657.69
?	0.33	0.35	5	948.77	1216.05	2326.28	3842.26	4652.59
?	0.33	0.32	5	848.17	1234.41	2282.98	3877.42	4605.23
?	0.34	0.25	5	822.37	1239.82	2276.71	3943.29	4567.67
?	0.35	0.25	5	808.65	1230.92	2227.08	4043.44	4564.84
?	0.35	0.22	5	815.49	1226.42	2198.73	4089.85	4547.11
?	0.36	0.22	5	826.52	1252.59	2192.39	4140.96	4501.38
?	0.36	0.11	5	805.94	1198.57	2121.2	4145.17	4485.1
?	0.37	0.09	5	733.9	1210.27	1739.95	4359.92	4498.2
?	0.38	0.03	5	542.24	933.51	1248.78	4024.75	4493.29
?	0.38	0.02	5	457.68	881.88	1206.82	3833.16	4901.27
?	0.39	0.005	4	551.94	904.42	3598.12	4658.97	--undefined--
?	0.4	0.0006	4	396.09	908.23	3272.18	4239.06	--undefined--
?	0.4	0.0001	5	228.29	913.14	2799.54	3876.36	5035.39
?	0.41	0.0001	4	225.79	2441.94	3443.5	4037.95	--undefined--
?	0.41	3e-06	4	227.05	2413.74	3164.09	4300.8	--undefined--
?	0.42	8e-07	4	228.81	2132.19	2832.11	4137.7	--undefined--
?	0.43	8e-07	4	222.26	2185.99	3247.93	4056.43	--undefined--
?	0.43	6e-07	4	210.81	2160.3	3354.53	4218.09	--undefined--
?	0.44	2e-07	4	209.76	2277.35	3459.33	4284.19	--undefined--
?	0.45	1e-07	5	221.47	2127.86	2834.13	3650.32	4982.12
?	0.45	6e-06	5	213.08	1990.78	3078.62	3873.34	4886.02
?	0.46	6e-06	5	216.16	2115.61	3138.87	3918.35	4870.97
?	0.46	6e-06	5	237.86	2326.14	3454.41	4442.17	4956.97
?	0.47	6e-06	5	220.97	2499.03	3644.44	4508.04	4973.8
?	0.48	0.0003	5	214.27	2325.51	3504.29	4499.46	4973.44
?	0.48	0.007	4	1513.48	2977.51	4349.26	4928.84	--undefined--
?	0.49	0.007	5	234.79	1398.11	1630.84	3417.99	4762.95
?	0.5	0.02	5	1206.05	1438.45	1643.3	3189.67	4418.26
?	0.5	0.02	5	1185.61	1454.02	1620.09	3125.32	4413.87
?	0.51	0.02	5	1336.71	1480.65	1545.86	2967.59	4449.66
?	0.51	0.02	5	1159.57	1530.03	1535.68	2950.34	4456.47
?	0.52	0.02	5	903.52	1531.68	1691.95	2952.5	4479.99
?	0.53	0.02	5	833.66	1550.02	1696.39	2955.21	4503.6
?	0.53	0.02	5	802.51	1574.37	1648	3122.15	4528.43
?	0.54	0.02	5	1363.3	1544.54	1700.78	3554.32	4584.12
?	0.55	0.01	5	1170.13	1519.95	1790.42	3525.31	4600.45
?	0.55	0.004	5	1138.9	1430.42	1560.21	3475.56	4574.96
?	0.56	0.004	4	1400.18	1594.58	3481.62	4484.87	--undefined--
?	0.56	0.004	4	1284.89	1679.7	2982.36	4476.03	--undefined--
?	0.57	0.004	4	1278.13	1659.04	2967.36	4516.41	--undefined--
?	0.58	0.004	4	1355.19	1653.01	3005.16	4504.23	--undefined--
?	0.58	0.004	4	1662.48	1666.62	3083.11	4550.55	--undefined--
?	0.59	0.004	4	1625.87	1656.72	3159.08	4584.06	--undefined--
