rowLabel	time(s)	intensity	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
?	0.03	3e-06	5	246.5	1255.74	2672.22	3826.03	4668.02
?	0.03	8e-06	5	235.02	976.32	2520.17	3758.5	4685.02
?	0.04	8e-06	5	242.25	963.32	2519.61	3642.87	4664.29
?	0.04	2e-05	5	197.4	863.85	3114.24	4341.38	4510.95
?	0.05	3e-05	4	170.17	909.72	2973.94	4314.22	--undefined--
?	0.06	3e-05	5	169.94	823.86	2420.34	3055.78	4501.78
?	0.06	3e-05	5	178.02	887.49	2761.46	2958.89	4339.92
?	0.07	4e-05	4	184.41	1156.73	2756.69	4097.68	--undefined--
?	0.08	4e-05	4	172.3	1061.27	2788.78	4124.9	--undefined--
?	0.08	4e-05	4	162.19	1032.33	2741.9	3989.13	--undefined--
?	0.09	4e-05	4	157.6	953.72	2672.8	4031.18	--undefined--
?	0.09	5e-05	4	155.19	819.58	2634.36	4064.97	--undefined--
?	0.1	5e-05	5	151.44	701.26	2620.45	3730.37	4150.14
?	0.11	5e-05	5	150.75	708.33	2622.6	3672.8	4299.25
?	0.11	5e-05	5	144.88	894.41	2822.36	2970.53	4479.87
?	0.12	5e-05	5	139.76	886.73	2696.59	3610.02	4410.06
?	0.13	5e-05	5	136.49	877.12	2765.83	3815.19	4196.7
?	0.13	5e-05	5	140.13	738.85	2463.26	3600.78	4496.18
?	0.14	5e-05	5	134.34	917.18	2419.82	3611.7	4532.43
?	0.14	3e-05	5	139.05	871.39	2443.73	3572.83	4447.93
?	0.15	2e-05	5	145.12	914.8	2381.7	3488.87	4439.37
?	0.16	1e-05	5	160.73	805.77	2495.71	3390.27	4337.23
?	0.16	1e-05	5	167.97	1026.28	2605.61	3597.45	4365.89
?	0.17	1e-05	5	179.89	1043.24	2536.43	3493.4	4483.2
?	0.18	1e-05	5	204.92	1051.87	2373.55	3546.39	4488.87
?	0.18	1e-05	5	235.69	1075.5	2382.41	3646.26	4581.64
?	0.19	1e-05	5	222.55	1078.25	2434.14	3591.07	4614.86
?	0.19	1e-05	4	204.16	2232.84	2936.28	4252.53	--undefined--
?	0.2	1e-05	4	197.77	1962.96	3080.57	4322.17	--undefined--
?	0.21	1e-05	5	173.16	1659.77	2387.13	3161	4343.47
?	0.21	1e-05	5	189.58	849.57	2392.7	3382.35	4393.56
?	0.22	6e-06	4	186.03	2361.37	3161.18	4311.29	--undefined--
?	0.23	3e-06	4	187.93	2224.28	3215.78	4248.05	--undefined--
?	0.23	3e-06	5	181.77	1004.99	2377.03	3761.7	4187.58
?	0.24	3e-06	5	183.13	1498.03	2577.88	3580.63	4409.47
?	0.24	1e-06	5	185.42	1523.57	2643.97	3385.81	4446.53
?	0.25	1e-06	5	167.06	2029.49	2379.35	3229.85	4466.2
?	0.26	2e-06	4	170.82	2277.19	3238.69	4267.47	--undefined--
?	0.26	4e-06	4	168.31	2353.05	3329.08	4417.86	--undefined--
?	0.27	0.001	5	179.49	1929.8	2488.06	3354.13	4494.63
?	0.28	0.003	5	206.33	1437.83	2878.48	3555.1	4535.86
?	0.28	0.005	5	209.87	1699.96	2961	3444.26	4622.21
?	0.29	0.005	5	327.91	1659.12	2987.13	3542.86	4601.91
?	0.29	0.01	5	377.92	1546.12	2945.01	3561.32	4548.69
?	0.3	0.02	5	420.31	1513.19	2726.69	3645.66	4467.34
?	0.31	0.02	5	453.11	1525.81	2705.79	3724.9	4284.54
?	0.31	0.04	5	494.31	1525.72	2664.38	3895.13	4472.2
?	0.32	0.16	5	548.84	1509.85	2653.63	3967.89	4599.07
?	0.33	0.16	5	565.16	1493.76	2646.35	3998.25	4636.84
?	0.33	0.18	5	598.28	1465.99	2672.26	4052.84	4608.99
?	0.34	0.18	5	619.65	1426.16	2695.15	4103.22	4628.99
?	0.34	0.18	5	618.71	1404.09	2673.67	4084.24	4671.6
?	0.35	0.18	5	617.24	1379.51	2641.51	4028.81	4667.13
?	0.36	0.18	5	623.46	1358.65	2629.38	3996.49	4691.02
?	0.36	0.18	5	633.97	1359.6	2630.39	4005.64	4682.67
?	0.37	0.18	5	634.56	1337.13	2623.89	3989	4692.31
?	0.38	0.18	5	642.57	1299.13	2616.73	3923.21	4656.55
?	0.38	0.17	5	665.08	1286.72	2577.99	3805.58	4664.23
?	0.39	0.16	5	669.01	1278.38	2587.16	3816.22	4672.54
?	0.39	0.16	5	668.5	1276.1	2618.06	3903.46	4702.92
?	0.4	0.12	5	666.14	1265.68	2595.64	3878.05	4704.86
?	0.41	0.16	5	671.45	1239.33	2587.54	3874.69	4710.44
?	0.41	0.16	5	692.96	1195.31	2553.64	3856.87	4665.88
?	0.42	0.16	5	722.43	1183.98	2539.56	3893.12	4617.84
?	0.43	0.16	5	754.44	1174.8	2566.5	3915.96	4647.19
?	0.43	0.23	5	776.1	1147.36	2582	3875.02	4652.47
?	0.44	0.23	5	762.89	1135.95	2598.96	3848.28	4648.57
?	0.44	0.23	5	742.64	1125.14	2518.05	3833.52	4639.69
?	0.45	0.23	5	789.68	1138.86	2503.75	3851.16	4624.97
?	0.46	0.23	5	795.85	1141.61	2510.92	3876.91	4661.51
?	0.46	0.23	5	781.09	1120.88	2457.42	3888.21	4653.06
?	0.47	0.23	5	795.36	1102.29	2349.4	3859.36	4588.71
?	0.48	0.23	5	806.64	1105.64	2363.04	3904.05	4633.86
?	0.48	0.22	5	767.75	1149.97	2402.52	3909.24	4658.79
?	0.49	0.17	5	752	1165.03	2393.35	3871.92	4656.52
