rowLabel	time(s)	intensity	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
?	0.03	9e-07	4	125.34	771.61	3071.84	4318.32	--undefined--
?	0.03	1e-06	3	659.24	2771.01	4165.25	--undefined--	--undefined--
?	0.04	1e-06	4	169.18	732.03	2544.64	4041.98	--undefined--
?	0.05	2e-06	5	185.01	896.03	2601.76	3928.57	5226.34
?	0.05	2e-06	5	175.01	856.59	2482.26	3651.77	4964.48
?	0.06	2e-06	5	165.57	779.03	2658.61	3928.76	4934.84
?	0.06	2e-06	5	162.29	706.13	2668.87	4002.13	4921.29
?	0.07	2e-06	5	154.47	725.22	2568.75	3840.44	5087.64
?	0.08	2e-06	5	144.43	786.16	2596.56	3881.89	5063.29
?	0.08	2e-06	5	140.09	825.94	2685.21	3848.75	4810.5
?	0.09	2e-06	5	141.65	804.26	2616.23	3728.41	4818.45
?	0.1	1e-06	4	137.98	2356.3	3517.38	4077.43	--undefined--
?	0.1	1e-06	4	143.43	2511.06	3006.3	4173.41	--undefined--
?	0.11	8e-07	4	163.21	2565.92	3381.93	4181.08	--undefined--
?	0.11	3e-07	4	183.92	2681.51	3578.41	4162.49	--undefined--
?	0.12	3e-07	4	191.9	2407.36	3107.71	4179.57	--undefined--
?	0.13	3e-07	4	174.27	2096.88	3315.51	4370.39	--undefined--
?	0.13	3e-07	4	159.46	2099.84	3255.54	4261.79	--undefined--
?	0.14	3e-07	4	148.4	2037.11	3034.41	4203.35	--undefined--
?	0.15	3e-07	4	150.15	2400.03	3537.46	4559.9	--undefined--
?	0.15	3e-07	4	147.54	2000.72	3341.62	4089.74	--undefined--
?	0.16	9e-08	4	144.9	2021.98	3151.15	4103.02	--undefined--
?	0.16	9e-08	5	143.41	1876.4	2913.74	3974.22	5020.1
?	0.17	4e-05	5	136.83	1978.98	2955.26	3941.84	4930.18
?	0.18	0.0003	5	139.04	1891.95	3266.37	3583.37	4824.11
?	0.18	0.003	4	263.15	1701.21	3066.98	3920.96	--undefined--
?	0.19	0.01	4	392.44	1663.76	3045.27	3451.26	--undefined--
?	0.2	0.03	4	417.38	1605.57	3048.63	3907.05	--undefined--
?	0.2	0.07	5	467.65	1514.41	2182.55	2721.56	4070.17
?	0.21	0.21	5	523.39	1405.14	2648.64	4137.23	4551.06
?	0.21	0.25	5	607.56	1291	2646.79	4018.63	4612.03
?	0.22	0.28	5	648.5	1277.22	2663.86	4047	4635.92
