rowLabel	time(s)	intensity	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
?	0.03	9e-07	3	634.93	2757.03	4224.62	--undefined--	--undefined--
?	0.03	1e-06	3	620.4	2587.29	4192.8	--undefined--	--undefined--
?	0.04	1e-06	4	151.33	692.74	2520.71	4123.64	--undefined--
?	0.05	2e-06	4	187.86	923.4	2772.56	4104.55	--undefined--
?	0.05	2e-06	4	175.71	837.67	2896.2	4117.87	--undefined--
?	0.06	2e-06	4	164.78	767.95	2891.53	4184.29	--undefined--
?	0.06	2e-06	5	160.94	712.67	2863.95	4086.51	5188.99
?	0.07	2e-06	5	153.14	710.41	2685.57	3963.21	4968.5
?	0.08	2e-06	5	144.41	754.36	2788.12	3945.65	4890.35
?	0.08	2e-06	5	141.01	780.64	2730.53	3714.05	4957.83
?	0.09	2e-06	5	141.99	830.23	2762.91	4029.19	5409.88
?	0.1	1e-06	4	138.42	862.89	2941.99	4325.85	--undefined--
?	0.1	1e-06	4	147.2	2139.02	3216.67	4395.28	--undefined--
?	0.11	7e-07	4	170.07	2307.4	3318.95	4288.08	--undefined--
?	0.11	3e-07	3	183.31	2636.37	3974.4	--undefined--	--undefined--
?	0.12	3e-07	4	192.33	2568.32	3283.54	4429.46	--undefined--
?	0.13	3e-07	4	176.19	2356.37	3450.1	4527.23	--undefined--
?	0.13	3e-07	4	160.49	2285.06	3336.74	4364.56	--undefined--
?	0.14	3e-07	4	149.67	2255.97	3259.2	4252.96	--undefined--
?	0.15	3e-07	4	150.86	2198.33	3368.29	4379.59	--undefined--
?	0.15	3e-07	4	148.01	1990.69	3180.72	4192.37	--undefined--
?	0.16	1e-07	4	145.06	1820.89	2950.27	4057.39	--undefined--
?	0.16	1e-07	5	143.5	1823.34	2896.47	4021.36	5158.6
?	0.17	5e-05	5	136.73	1822.82	2983.59	3983.55	4966.56
?	0.18	0.0003	5	139.34	1872.68	3273.17	3843.48	4868.83
?	0.18	0.007	4	296.94	1737.32	3069.57	4272.55	--undefined--
?	0.19	0.02	4	407.92	1673.95	3048.31	3494.1	--undefined--
?	0.2	0.05	5	443.93	1350.46	1957.28	3060.26	4110.64
?	0.2	0.11	5	475.71	1105.3	2726.27	2750.6	4078.01
?	0.21	0.22	5	517.66	1081.91	2647.93	4097.88	4478.79
?	0.21	0.26	5	591.02	1083.66	2651.79	4015.15	4648.58
?	0.22	0.29	5	633.41	1100.81	2671.42	4049.39	4655.77
?	0.23	0.29	5	648.45	1111.41	2673.91	4058.21	4687.73
?	0.23	0.29	5	658.48	1112.96	2644.17	4035.33	4703.79
?	0.24	0.29	5	668.8	1113.24	2627.46	4008.87	4701.35
?	0.25	0.29	5	686.82	1114.25	2623.25	4003.18	4696.48
?	0.25	0.29	5	710.15	1121.12	2621.61	3990.19	4678.66
?	0.26	0.29	5	736.95	1122.71	2603.25	3931.23	4682.79
?	0.26	0.29	5	740.33	1120.53	2607.83	3933.75	4708.18
?	0.27	0.2	5	752.36	1123.33	2604.9	3883.03	4713.99
?	0.28	0.25	5	815.58	1127.69	2573.36	3870.44	4659.07
?	0.28	0.35	5	864.26	1154.11	2583.25	3905.88	4576.32
?	0.29	0.35	5	903.69	1166	2602.83	3861.77	4561.94
?	0.3	0.35	5	931.39	1180.88	2568.47	3808.66	4540.48
?	0.3	0.35	5	976.11	1212.85	2529.4	3824.57	4641.99
?	0.31	0.35	5	1015.13	1222.58	2498.76	3877.56	4666.48
?	0.31	0.35	5	991.48	1224.22	2391.23	3876.31	4635.44
?	0.32	0.35	5	962.38	1221.41	2369.91	3880.35	4657.69
?	0.33	0.35	5	953.01	1216.45	2327.07	3842.51	4652.61
?	0.33	0.32	5	850.31	1234.47	2283.5	3877.28	4605.1
?	0.34	0.25	5	823.22	1239.97	2277.12	3943.08	4567.55
?	0.35	0.25	5	808.79	1231.09	2227.25	4043.37	4564.77
?	0.35	0.22	5	815.54	1226.88	2198.81	4089.83	4547.16
?	0.36	0.22	5	827.02	1253.83	2192.68	4141.37	4501.52
?	0.36	0.11	5	805	1200.26	2121.66	4146.47	4485.28
?	0.37	0.09	5	729.75	1211.56	1748.26	4357.81	4498.47
?	0.38	0.03	5	546.94	951.13	1248.97	4489.42	4826.61
?	0.38	0.02	5	455.39	881.43	1211.07	3631.69	4918.72
?	0.39	0.005	5	192.28	534.09	904.55	3696.44	5058.36
