rowLabel	time(s)	intensity	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
?	0.03	3e-05	5	222.16	967.34	2717.1	3572.47	4618.84
?	0.03	4e-05	5	166.26	847.95	3035.87	3239.3	4370.22
?	0.04	4e-05	5	175.44	853.24	2482.19	3023.41	4393.85
?	0.05	4e-05	5	178.96	912.42	2467.94	2997.66	4286.59
?	0.05	5e-05	5	166.48	982.22	2816.93	3220.05	4066.38
?	0.06	5e-05	4	157.65	960.35	2725.19	4011.82	--undefined--
?	0.06	5e-05	5	153.94	819.15	2627.56	3677.1	4114.68
?	0.07	5e-05	5	149.93	751.44	2552.76	3429.84	4202.72
?	0.08	5e-05	5	142.91	897.46	2838.42	2914.53	4466.61
?	0.08	5e-05	5	139.2	889.9	2704.13	3611.1	4195.16
?	0.09	5e-05	5	140.19	874.47	2489.08	3379.21	4276.95
?	0.1	5e-05	5	136.65	1089.14	2435.4	3507.75	4408.83
?	0.1	5e-05	5	144.64	1193.37	2800.93	2875.41	4357.97
?	0.11	2e-05	5	158.94	1115.98	2638.85	3395.63	4426
?	0.11	1e-05	5	180.58	1157.75	2468.13	3520.11	4465.17
?	0.12	1e-05	5	193.51	1075.87	2422.81	3672.11	4523.53
?	0.13	1e-05	5	174.15	1055.63	2532.98	3808.3	4749.55
?	0.13	1e-05	5	159.26	1416.4	2553.39	3448.14	4256.42
?	0.14	1e-05	5	149.45	1648.5	2452.44	3528.33	4392.95
?	0.15	1e-05	5	150.35	2197.76	2345.65	3306.54	4373.33
?	0.15	1e-05	5	149.46	2174.45	2297.95	3499.63	4288.47
?	0.16	3e-06	5	147.78	1713.64	2566.88	3473.64	4360.74
?	0.16	3e-06	5	145.26	1574.13	2678.26	3297.76	4528.59
?	0.17	0.005	5	140.16	1914.64	2581.32	3402.29	4460.57
?	0.18	0.005	5	144.86	1753.34	2644.37	3383.27	4445.98
?	0.18	0.006	5	150.39	1698.03	2978.56	3500.36	4636.53
?	0.19	0.01	5	268.88	1682.4	2991.45	3537.06	4621.15
?	0.2	0.03	5	370.6	1648.71	2976.21	3586.17	4587.51
?	0.2	0.07	5	427.95	1635.45	2745.58	3730.39	4496.1
?	0.21	0.13	5	483.76	1635.95	2653.61	3941.72	4493.26
?	0.21	0.17	5	548.35	1614.04	2650.5	3990.31	4623.41
?	0.22	0.17	5	594.62	1568.13	2665.65	4039.68	4648.56
?	0.23	0.17	5	614.73	1531.14	2674.86	4055.36	4689.43
?	0.23	0.17	5	620.91	1512.93	2648.78	4033.42	4709.02
?	0.24	0.17	5	623.83	1493.21	2629.12	4001.14	4706.28
?	0.25	0.17	5	633.26	1464.32	2624.75	3987.87	4702.72
?	0.25	0.17	5	648.18	1417.12	2625.66	3957.38	4692.38
?	0.26	0.17	5	669.11	1385.04	2608.38	3892.24	4702.71
?	0.26	0.17	5	669.18	1343.79	2620.76	3915.04	4718.04
?	0.27	0.17	5	674.38	1302.15	2596.65	3884.2	4723.56
?	0.28	0.17	5	710.36	1240.42	2558.52	3878.61	4695.5
?	0.28	0.2	5	756.99	1204.73	2573.93	3918.85	4670.13
?	0.29	0.22	5	768.72	1172.71	2589.61	3884.08	4671.84
?	0.3	0.22	5	741.24	1142.61	2532.22	3842.78	4646.97
?	0.3	0.22	5	778.27	1140.61	2506.2	3866.65	4656.76
?	0.31	0.22	5	774.73	1130.07	2477.42	3901.11	4684.05
?	0.31	0.22	5	793.36	1111.56	2389.3	3901.7	4650.49
?	0.32	0.22	5	773.56	1141.37	2388.99	3914.73	4668.51
?	0.33	0.22	5	754.09	1175.49	2357.1	3890.16	4662.07
?	0.33	0.22	5	713.96	1201.05	2327.62	3906.81	4618.51
?	0.34	0.19	5	705.15	1202.32	2332.27	3931.1	4577.44
?	0.35	0.19	5	714.67	1180.52	2292.87	3991.15	4557.88
?	0.35	0.16	5	686.45	1148.38	2242.42	3989.45	4533.95
?	0.36	0.16	5	654.04	1141.34	2244.82	3987.33	4492.86
?	0.36	0.08	5	602.31	1137.59	2160.5	3971.82	4466.25
?	0.37	0.08	5	616.96	1165.17	2228.34	4201.38	4350.24
?	0.38	0.02	5	592.34	1120.33	2298.59	4079.16	4377.78
?	0.38	0.02	5	577.42	1049.94	2229.24	3968.64	4361.67
?	0.39	0.006	5	528.45	1054.35	2251.84	4276.28	4411.54
?	0.4	0.002	5	431.96	1127.08	2294.11	4236.63	4631.77
?	0.4	0.002	5	394.91	1083.98	2253.04	4334.68	4392.26
?	0.41	0.002	5	326.42	1093.1	2079.84	3576.03	4548.49
?	0.41	0.0007	5	368.98	1092.47	2049.74	3729.65	4574.38
?	0.42	0.0003	5	485.8	990.45	2276.02	3564.62	4362.06
?	0.43	0.0002	5	459.36	971.89	2271.48	3389.18	4300.58
?	0.43	0.0001	5	401.37	1077.96	2463.56	3116.5	4419.58
?	0.44	8e-05	5	386.21	995.65	2721.1	3020.74	4654.1
?	0.45	5e-05	5	329.7	952.58	2622.38	3611.72	4704.68
?	0.45	0.0002	5	202.86	945.62	2630.26	3652.15	4536.05
?	0.46	0.0002	5	288.92	1035.21	2806.73	3774.73	4541.73
?	0.46	0.0002	4	1173.33	3122.99	4041.65	4761.73	--undefined--
?	0.47	0.0002	5	545.95	2044.28	2921.51	4163.93	4773.26
?	0.48	0.0002	4	1271.43	2912.83	4208.94	4780.74	--undefined--
?	0.48	0.004	4	1244.19	2698.2	3945.11	4741.14	--undefined--
?	0.49	0.004	5	503.31	1452.05	2422.39	3481.91	4614.36
?	0.5	0.01	4	1321.22	1534.07	3095.8	4461.02	--undefined--
?	0.5	0.01	4	1339.26	1534.28	3060.85	4452.82	--undefined--
?	0.51	0.01	4	1404.61	1524.05	3022.27	4443.09	--undefined--
?	0.51	0.01	4	1342.23	1537.29	2971.3	4442.9	--undefined--
?	0.52	0.01	5	806.76	1536.34	2109.37	2930.1	4467.85
?	0.53	0.01	5	880.47	1559.62	1654.17	2930.76	4478.59
?	0.53	0.01	4	1207.19	1586.69	3077.37	4480.07	--undefined--
?	0.54	0.01	4	1507.82	1569.85	3218.41	4542.13	--undefined--
?	0.55	0.004	5	569.47	1309.65	1557.48	3186.2	4568.35
?	0.55	0.003	5	950.3	1537.45	2850.58	2992.59	4542.58
?	0.56	0.003	5	860.71	1571.89	2831.15	3879.72	4482.62
?	0.56	0.003	5	941.54	1620.21	2957.19	3895.83	4430.16
?	0.57	0.003	4	962.03	1636.98	2939.01	4478.68	--undefined--
?	0.58	0.003	5	962.33	1649.62	2921.42	4299.69	4485.64
?	0.58	0.003	5	827.68	1661.76	2999.16	3972.81	4527.27
?	0.59	0.003	5	687.82	1637.27	2923.43	3614.14	4569.43
