rowLabel	time(s)	intensity	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
?	0.03	2e-07	3	601.66	2769.27	4262.43	--undefined--	--undefined--
?	0.03	5e-07	4	600.38	2731.33	3975.94	4836.81	--undefined--
?	0.04	7e-07	4	601.77	2740.89	3956.49	5034.74	--undefined--
?	0.04	9e-07	4	598.77	1715.57	2921.95	4070.51	--undefined--
?	0.05	1e-06	3	603.97	2738.38	4060.22	--undefined--	--undefined--
?	0.06	2e-06	4	612.2	2564.75	3753.57	4793.56	--undefined--
?	0.06	2e-06	5	184.59	621.87	2516.96	4189.14	4864.12
?	0.07	2e-06	4	204.96	904.18	2791.29	4257.38	--undefined--
?	0.08	2e-06	4	192.6	830.35	2859.7	4251.92	--undefined--
?	0.08	2e-06	4	183.95	893.5	2967.8	4231.56	--undefined--
?	0.09	2e-06	4	182.11	782.67	2835.72	4156.78	--undefined--
?	0.09	2e-06	4	174.34	623.65	2648.06	4173.73	--undefined--
?	0.1	2e-06	5	158.08	641.88	2622.98	3646.33	4861.89
?	0.11	2e-06	5	158.12	654.14	2690.54	3700.31	4953.07
?	0.11	2e-06	4	150.08	765.45	2705.97	4078.9	--undefined--
?	0.12	2e-06	5	142.19	747.16	2682.96	3910.4	5226.08
?	0.13	2e-06	5	136.33	700.86	2753.81	3861.37	4821.69
?	0.13	2e-06	5	137.98	685.77	2766.45	4075.17	4893.62
?	0.14	2e-06	5	119.78	668.32	2626.58	4077.62	4793.12
?	0.14	1e-06	5	110.8	649.04	2602.66	3901.52	4969.48
?	0.15	1e-06	5	72.72	639.74	2653.42	3682.03	5006.69
?	0.16	5e-07	3	612.91	2840.81	3931.74	--undefined--	--undefined--
?	0.16	5e-07	3	553.31	2803.16	3969.82	--undefined--	--undefined--
?	0.17	4e-07	4	167.77	638.83	2814.41	3933.16	--undefined--
?	0.18	4e-07	5	214.24	687.79	2799.35	3876.45	5155.28
?	0.18	4e-07	5	335.85	372.85	2708.52	3773.28	5021.39
?	0.19	4e-07	5	271.25	432.97	2583.63	3750.5	4970.65
?	0.19	4e-07	5	216.58	607.38	2709.8	3821.45	4967.73
?	0.2	4e-07	5	210.3	578.42	2773.63	3842.23	5267.08
?	0.21	4e-07	4	510.58	2801.06	3996.51	5103.76	--undefined--
?	0.21	4e-07	4	349.51	2780.33	3941.87	4978.66	--undefined--
