rowLabel	time(s)	intensity	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
?	0.03	1e-06	4	204.54	950.62	2974.83	4165.35	--undefined--
?	0.03	1e-06	3	683.51	2906.97	4283.27	--undefined--	--undefined--
?	0.04	1e-06	5	177.19	767.18	2745.83	3938.23	4559.57
?	0.05	2e-06	5	185.4	911	2797.74	4047.75	4653.37
?	0.05	2e-06	5	176.23	902.08	2734.35	3727.68	5363.35
?	0.06	2e-06	5	167.06	796.57	2799.75	3639.01	4955.16
?	0.06	2e-06	5	162.61	715.01	2723.66	3842.8	4811.81
?	0.07	2e-06	5	155.14	718.22	2701.4	3937.41	5132.95
?	0.08	2e-06	5	145.74	815.98	2805.12	3684.76	4731.37
?	0.08	2e-06	5	139.32	878.51	2957.5	3783.3	4861.75
?	0.09	2e-06	4	139.83	982.24	2822.03	3925.17	--undefined--
?	0.1	1e-06	5	135.26	1086.66	2711.59	3969.17	5322.41
?	0.1	1e-06	5	138.67	1013.56	2809.46	3898.7	4894.34
?	0.11	8e-07	5	156.35	1155.59	2986.63	3634.85	4835.56
?	0.11	3e-07	4	181.38	2055.13	3455.49	4483.49	--undefined--
?	0.12	3e-07	4	190.24	2312.37	3264.9	4548.36	--undefined--
?	0.13	3e-07	4	175.25	2651.28	3896.86	4262.89	--undefined--
?	0.13	3e-07	4	160	2538.4	3836.14	4785.12	--undefined--
?	0.14	3e-07	4	148.61	2373.6	3584.73	4484.22	--undefined--
?	0.15	3e-07	4	149.91	2281.79	3497.02	4693.05	--undefined--
?	0.15	3e-07	4	147.73	2123.39	3414.61	4622.23	--undefined--
?	0.16	1e-07	4	145.08	2049.8	3154.52	4356.05	--undefined--
?	0.16	1e-07	4	143.75	2050.37	3328.76	4324.32	--undefined--
?	0.17	2e-05	4	136.93	2036.56	3190.49	4307.05	--undefined--
?	0.18	0.0002	5	138.81	1904.3	2989.88	3946.27	5027.09
?	0.18	0.004	4	246.44	1932.07	3070.97	4263.65	--undefined--
?	0.19	0.01	4	377.65	1704.15	3054.61	3497.77	--undefined--
?	0.2	0.03	5	395.89	1686.45	2265.35	3066.83	4165.73
?	0.2	0.08	5	443.94	1676.17	2665.17	2745.12	4089.8
?	0.21	0.18	5	522.67	1676.51	2644.89	4119.55	4362.34
?	0.21	0.23	5	601.93	1655.97	2645.28	4004.09	4601.36
?	0.22	0.23	5	637.17	1601.25	2660.02	4035.26	4633.32
?	0.23	0.23	5	647.67	1549.58	2666.92	4049.65	4679.35
?	0.23	0.23	5	656.4	1526.82	2644.14	4029.23	4701.3
?	0.24	0.23	5	667.36	1512.24	2628.3	4002.61	4698.9
?	0.25	0.23	5	687.27	1493.41	2622.72	3996.93	4691.92
?	0.25	0.23	5	719.96	1447.85	2621.31	3982.27	4671.17
?	0.26	0.23	5	746.17	1411.07	2603.41	3918.71	4678.01
?	0.26	0.22	5	743.39	1366.65	2610.03	3926.54	4707.76
?	0.27	0.21	5	767.57	1308.46	2606.19	3882.36	4711.97
?	0.28	0.22	5	822.64	1245.48	2579.4	3869.48	4664.09
?	0.28	0.33	5	861.27	1223.28	2590.39	3900.74	4587.12
?	0.29	0.33	5	887.86	1212.67	2612.84	3858.52	4573.34
?	0.3	0.33	5	902.43	1197.11	2582	3806.8	4545.87
?	0.3	0.33	5	945.53	1206.46	2534.07	3823.96	4644.84
?	0.31	0.33	5	1001.39	1207.5	2499.09	3877.75	4667.76
?	0.31	0.33	5	988.34	1213.61	2383.7	3876.85	4637.22
?	0.32	0.33	5	948.75	1212.71	2361.46	3880.38	4658.63
?	0.33	0.33	5	925.37	1213.36	2320.19	3841.96	4653.32
?	0.33	0.32	5	838.29	1233.46	2277.92	3879.89	4606.64
?	0.34	0.27	5	817.88	1238.65	2272.77	3946.25	4568.57
?	0.35	0.27	5	807.33	1229.63	2225.37	4045.26	4565.55
?	0.35	0.23	5	815	1223.79	2198.65	4090.89	4547.43
?	0.36	0.23	5	824.02	1244.45	2192.85	4142.19	4501.67
?	0.36	0.11	5	810.75	1187.94	2126.01	4152.37	4485.31
?	0.37	0.09	5	769.74	1207.64	1664.44	4498.14	4510.94
?	0.38	0.03	5	544.8	911.69	1248.46	4403.41	4488.89
?	0.38	0.02	5	462.92	879.79	1196.07	3863.71	5058.13
?	0.39	0.006	5	450.74	807.49	903.78	3700.43	4942.03
?	0.4	0.0009	4	425.44	909.03	3474.56	4875.71	--undefined--
?	0.4	0.0002	5	229.21	910.11	2834.53	4237.6	5409.24
?	0.41	0.0002	4	226.14	2221.8	3340.87	4297.28	--undefined--
?	0.41	5e-06	4	226.16	2173.9	3206.77	4340.81	--undefined--
?	0.42	7e-07	4	229.36	2121.6	3057.94	4336.39	--undefined--
?	0.43	7e-07	4	223.14	2125.54	3375.9	4396.67	--undefined--
?	0.43	6e-07	5	210.54	1744.64	2799.28	3841.84	4949.95
?	0.44	2e-07	4	208.8	2261.12	3257.99	4276.42	--undefined--
?	0.45	1e-07	4	221.45	2213.71	3460.57	4467.08	--undefined--
?	0.45	7e-06	5	213.08	2049.15	3158.69	3763.33	4945.92
?	0.46	7e-06	5	216.27	1801.99	3105.21	3956.33	4907.55
?	0.46	7e-06	5	235.91	2178.81	3475.86	4454.69	4963.14
?	0.47	7e-06	4	2390.8	3686.61	4526.91	4985.03	--undefined--
?	0.48	0.0003	5	173.2	2398.91	3600.58	4526.52	4988.88
?	0.48	0.008	4	1495.19	2957.23	4315	4917.34	--undefined--
?	0.49	0.008	4	1393.77	1629.79	3432.96	4705.66	--undefined--
?	0.5	0.02	5	1213.58	1437.91	1643.7	3183.97	4415.09
?	0.5	0.02	5	1206.2	1454.68	1620.2	3125.35	4414.35
?	0.51	0.02	5	1455.59	1472.28	1549.93	2967.89	4451.63
?	0.51	0.02	5	1198.52	1521.62	1536.85	2949.53	4456.99
?	0.52	0.02	5	911.53	1531.92	1696.04	2951.9	4479.59
?	0.53	0.02	5	841.75	1550.37	1697.99	2954.62	4502.87
?	0.53	0.02	5	806.78	1573.84	1648.61	3114.82	4528.63
?	0.54	0.02	5	1354.19	1544.1	1703.04	3555.31	4585.94
?	0.55	0.01	5	1139.13	1516.64	1779.99	3501.38	4600.05
?	0.55	0.004	5	999.42	1474.08	1553.98	3477.71	4575.79
?	0.56	0.004	4	1399.02	1593.47	3482.66	4484.43	--undefined--
?	0.56	0.004	4	1291.83	1681.77	2981.73	4474.18	--undefined--
?	0.57	0.004	4	1286.34	1659.79	2968.47	4514.76	--undefined--
?	0.58	0.004	4	1374.27	1653.36	3005.13	4502.62	--undefined--
?	0.58	0.004	4	1664.8	1684.75	3086.24	4546.19	--undefined--
?	0.59	0.004	4	1605.75	1658.74	3161.11	4588.22	--undefined--
