rowLabel	time(s)	intensity	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
?	0.03	3e-06	5	246.34	1257.28	2729.34	3702.43	4687.82
?	0.03	8e-06	5	234.95	983.54	2577.21	3717.85	4666.91
?	0.04	8e-06	5	241.04	958.68	2484.44	3725.12	4675.57
?	0.04	2e-05	5	195.4	840.99	3066.18	3665.48	4405.45
?	0.05	3e-05	4	169.85	910.12	2982.78	4366.48	--undefined--
?	0.06	3e-05	5	169.5	847.48	2325.84	2872.46	4483.08
?	0.06	3e-05	5	178.27	895.88	2127	2793.86	4453.73
?	0.07	4e-05	4	182.3	1087.97	2826.91	4379.58	--undefined--
?	0.08	4e-05	4	171.41	1026.5	2844.46	4384.3	--undefined--
?	0.08	4e-05	5	161.36	996.62	2691.66	2817.11	4397.73
?	0.09	4e-05	4	158.08	979.66	2692.06	4044.83	--undefined--
?	0.09	5e-05	4	156.42	879.72	2680.89	3976.6	--undefined--
?	0.1	5e-05	5	152.18	709.18	2637.47	3924.35	4882.01
?	0.11	5e-05	5	151.28	717.22	2601.71	3966.19	4567.73
?	0.11	5e-05	5	145.13	926.07	2789.97	2848.22	4375.28
?	0.12	5e-05	5	139.84	901.23	2824.3	3406.98	4383.58
?	0.13	5e-05	5	136.28	842.02	2620.65	3500.91	4425.33
?	0.13	5e-05	5	140.27	699.48	2439.45	3472.23	4454.93
?	0.14	5e-05	5	134.11	917.42	2408.22	3492.43	4460.38
?	0.14	3e-05	5	139.02	876.14	2382.66	3508.51	4417.06
?	0.15	2e-05	5	145.17	881.78	2349.76	3468.32	4424.41
?	0.16	1e-05	4	161.81	2289.53	2886.36	4358.19	--undefined--
?	0.16	1e-05	5	168.44	1000.05	2667.13	3335.28	4551.63
?	0.17	1e-05	5	181.61	1038.93	2609.18	3533.19	4501.76
?	0.18	1e-05	5	207.53	989.95	2351.4	3581.46	4351.74
?	0.18	1e-05	5	234.88	1068.89	2437.33	3766.41	4616.65
?	0.19	1e-05	4	223.96	1551.93	2551.86	3837.57	--undefined--
?	0.19	1e-05	4	204.5	1990.73	2804.02	3994.62	--undefined--
?	0.2	1e-05	4	196.86	1841.78	3049.65	4116.62	--undefined--
?	0.21	1e-05	5	173.1	1452	2876.12	3276.39	4404.72
?	0.21	1e-05	4	190.26	2276.05	3340.37	4371.6	--undefined--
?	0.22	5e-06	4	185.62	2445.54	3232.29	4324.26	--undefined--
?	0.23	2e-06	4	187.93	2194.73	3015.6	4191.7	--undefined--
?	0.23	2e-06	4	182.06	2273.87	3208.79	4036.7	--undefined--
?	0.24	2e-06	5	183.17	1475.94	2526.49	3568.28	4535.04
?	0.24	1e-06	5	185.28	1343.7	2712	3400.36	4558.8
?	0.25	1e-06	5	166.41	1511.96	2627.1	3407.49	4597.36
