rowLabel	time(s)	intensity	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
?	0.03	3e-06	5	246.79	1261.72	2753.18	3751.03	4643.45
?	0.03	8e-06	5	235.11	992.61	2571.69	3696.83	4649.04
?	0.04	8e-06	5	241.62	972.81	2536.59	3637.13	4648.85
?	0.04	2e-05	4	197.29	880.81	3097.82	4403.56	--undefined--
?	0.05	3e-05	4	169.42	907.26	3069.78	4394.8	--undefined--
?	0.06	3e-05	5	169.35	820.61	2404.59	3022.64	4439.34
?	0.06	3e-05	5	176.49	845.86	2510.57	3353.67	4424.03
?	0.07	4e-05	5	180.8	988.55	2784.23	2985.28	4308.43
?	0.08	4e-05	4	172.42	1063.58	2773.74	4050.99	--undefined--
?	0.08	4e-05	4	162.24	1035.56	2752.16	3954.05	--undefined--
?	0.09	4e-05	4	158.34	987.99	2674.3	3934.48	--undefined--
?	0.09	5e-05	4	156.16	865.47	2651.73	4008.2	--undefined--
?	0.1	5e-05	5	151.89	704.29	2569.4	3700.59	4167.82
?	0.11	5e-05	5	151.24	701.9	2582.08	3495.94	4298.98
?	0.11	5e-05	5	144.97	904.04	2649.48	2841.48	4412.4
?	0.12	5e-05	5	139.88	904.48	2842.13	4018.32	4225.35
?	0.13	5e-05	5	136.33	843.76	2738.27	3587.2	4502.3
?	0.13	5e-05	5	140.21	721.64	2514.08	3579.07	4512.35
?	0.14	5e-05	5	134.17	920.88	2451.02	3568.66	4498.84
?	0.14	3e-05	5	138.92	856.8	2427.59	3527.07	4494.8
?	0.15	2e-05	5	145.82	911.74	2348.89	3456.89	4450.1
?	0.16	1e-05	5	161.29	737.89	2455.65	3456.03	4448.65
?	0.16	1e-05	5	167.09	1010.14	2606.34	3437.25	4462.85
?	0.17	1e-05	5	180.49	1131.89	2812.24	3665.29	4247.89
?	0.18	1e-05	5	205.77	1054.14	2405.59	3483.73	4537.25
?	0.18	1e-05	5	235.19	1046.58	2449.79	3580.9	4567.24
?	0.19	1e-05	4	223.05	1151.14	2574.44	3860.37	--undefined--
?	0.19	1e-05	4	205.15	2137.87	2800.84	4170.93	--undefined--
?	0.2	1e-05	4	198.35	2001.56	3052.13	4245.51	--undefined--
?	0.21	1e-05	5	173.42	1779.14	2574.13	3121.43	4379.41
