rowLabel	time(s)	intensity	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
?	0.03	9e-07	5	185.03	850.02	2842.96	4272.07	5173.31
?	0.03	1e-06	3	625.32	2824.2	4426.26	--undefined--	--undefined--
?	0.04	1e-06	4	160.27	726.31	2806.61	4296.65	--undefined--
?	0.05	2e-06	4	187.64	980.47	2867.31	4024.7	--undefined--
?	0.05	2e-06	4	176.69	907.01	2770.04	3836.78	--undefined--
?	0.06	2e-06	4	166.97	806.71	2708.08	4111.04	--undefined--
?	0.06	2e-06	4	162.12	714.14	2700.22	4025.94	--undefined--
?	0.07	2e-06	5	153.75	711.4	2712.96	3843.95	4938.41
?	0.08	2e-06	4	146.11	795.26	2822.94	3895.74	--undefined--
?	0.08	2e-06	4	140.65	845.88	2807.84	3853.22	--undefined--
?	0.09	2e-06	5	140.35	958.26	2733.8	3851.59	4872.7
?	0.1	1e-06	5	135.45	1119.17	2612.88	3829.53	4895.75
?	0.1	1e-06	4	141.78	2217.17	3336.42	4124.91	--undefined--
?	0.11	8e-07	4	162.6	2144.08	3412.65	4195.89	--undefined--
?	0.11	3e-07	4	183.48	2196.38	3518.45	4237.53	--undefined--
?	0.12	3e-07	4	192.6	2179.27	3372.16	4319.77	--undefined--
?	0.13	3e-07	4	174.67	2212.69	3337.15	4327.58	--undefined--
?	0.13	3e-07	4	159.67	2224.59	3373.82	4405.26	--undefined--
?	0.14	3e-07	4	148.67	2376.49	3310.72	4393.3	--undefined--
?	0.15	3e-07	4	149.86	2298.43	3408.4	4385.68	--undefined--
?	0.15	3e-07	4	147.26	1987.41	3278.46	4446.66	--undefined--
?	0.16	1e-07	4	145.12	2176.69	3394.17	4399.55	--undefined--
?	0.16	9e-08	5	143.62	2245.51	2803.06	3692	4929.75
?	0.17	2e-05	5	136.74	1994.83	2953.09	3830.19	4987.29
?	0.18	0.0003	5	138.92	1980	3036.78	4177.51	5004.48
?	0.18	0.003	4	248.57	1693.85	3060.92	3960.07	--undefined--
?	0.19	0.008	4	382.96	1647.49	3049.79	3454.62	--undefined--
?	0.2	0.02	5	402.72	1623.25	2444.29	3054.21	4115.91
?	0.2	0.06	5	453.79	1594.93	2694.13	2694.63	4081.25
?	0.21	0.19	5	518.37	1572.01	2647.7	4120.53	4440.38
?	0.21	0.24	5	594.08	1567.68	2650.7	4012.58	4622.13
?	0.22	0.25	5	640.26	1519.93	2665.08	4046.26	4636.03
?	0.23	0.25	5	657.78	1451.76	2666.44	4054.6	4675.69
?	0.23	0.25	5	668.42	1412.09	2640.73	4030.67	4696.75
?	0.24	0.25	5	680.51	1383.16	2625.18	4003.06	4695.46
?	0.25	0.25	5	700.05	1370.05	2620.16	3998.53	4689.85
?	0.25	0.25	5	728.64	1334.47	2618.6	3986.22	4668.67
?	0.26	0.25	5	748.28	1312.62	2602.22	3922.96	4677.09
?	0.26	0.25	5	740.15	1303.88	2609.82	3929.69	4708.3
?	0.27	0.2	5	759.49	1240.87	2606.27	3881.88	4713.72
?	0.28	0.23	5	813.34	1197.73	2578.87	3869	4664.47
?	0.28	0.34	5	862.36	1204.55	2587.4	3902.05	4583.43
?	0.29	0.34	5	896.57	1202.48	2608.08	3859.77	4567.96
?	0.3	0.34	5	915.64	1194.34	2574.43	3807.99	4540.97
?	0.3	0.34	5	956.47	1209.99	2529.76	3823.62	4642.18
?	0.31	0.34	5	1006.39	1212.99	2496.62	3877.25	4666.42
?	0.31	0.34	5	989.62	1217.57	2385.2	3876.4	4636.17
?	0.32	0.34	5	953.18	1215.42	2364.21	3880.14	4658.11
?	0.33	0.34	5	932.69	1214.29	2322.58	3841.96	4652.92
?	0.33	0.32	5	841.11	1233.9	2280.03	3878.79	4606.01
?	0.34	0.26	5	819.31	1239.1	2274.43	3944.74	4568.09
?	0.35	0.26	5	807.88	1230.11	2226.1	4044.39	4565.19
?	0.35	0.22	5	815.38	1224.63	2198.6	4090.34	4547.24
?	0.36	0.22	5	825.13	1247.13	2192.32	4141.63	4501.36
?	0.36	0.11	5	809.81	1190.87	2123.57	4149.79	4485.09
?	0.37	0.09	5	758.07	1207.29	1698.52	4486.47	4497.91
?	0.38	0.03	5	542.1	914.29	1248.73	4093.04	4491.78
?	0.38	0.02	5	462.74	881.07	1198.13	3914.78	4970.3
?	0.39	0.005	5	482.26	556.65	903.77	3715.07	4954.18
?	0.4	0.0007	4	442.36	909.01	3081.43	4262.92	--undefined--
?	0.4	0.0002	5	229.25	919.31	2873.72	3845.37	5391.8
?	0.41	0.0002	4	225.97	2269.15	3387.69	4441.47	--undefined--
?	0.41	4e-06	4	226.93	2281.66	3509.67	4528.73	--undefined--
?	0.42	7e-07	4	229.99	2105.77	3296.54	4470.46	--undefined--
?	0.43	7e-07	4	222.13	2071.1	2529.09	3495.95	--undefined--
?	0.43	6e-07	5	210.25	1761.2	2865.51	3606.58	5278.77
?	0.44	2e-07	4	209.23	2495.5	3447.6	4263.09	--undefined--
?	0.45	1e-07	5	221.17	1714.64	2736.8	3751.14	5306.9
?	0.45	7e-06	5	213.27	2404.13	2492.23	3781.03	5209.61
?	0.46	7e-06	5	216.18	2104.06	3069.11	3839.98	4875.7
?	0.46	7e-06	5	234.69	2230.65	3537.16	4463.66	4965.69
?	0.47	7e-06	5	146.58	2414.97	3752.21	4536.63	4988.93
?	0.48	0.0003	5	179.28	2364.59	3642.96	4527.63	4988.58
?	0.48	0.008	4	1493.53	2946.77	4319.41	4912.6	--undefined--
?	0.49	0.008	4	1396.43	1632.03	3442.82	4763.6	--undefined--
?	0.5	0.02	5	1205.93	1438.51	1644.38	3185.14	4421.43
?	0.5	0.02	5	1193.61	1454.76	1621.22	3122.63	4414.06
?	0.51	0.02	5	1432.87	1462.24	1549.17	2967.46	4451.02
?	0.51	0.02	5	1185.98	1523.17	1536.71	2949.66	4457.34
?	0.52	0.02	5	908.57	1531.82	1694.8	2952.23	4480.34
?	0.53	0.02	5	838.19	1550.07	1698.25	2954.84	4503.47
?	0.53	0.02	5	805.59	1574.11	1647.58	3121.47	4532.97
?	0.54	0.02	5	1358.2	1544.18	1701.93	3561.38	4585.38
?	0.55	0.01	5	1147.94	1517.46	1782.09	3509.34	4599.33
?	0.55	0.004	5	1022.62	1463.5	1555.95	3476	4575.26
?	0.56	0.004	4	1399.65	1593.2	3492.37	4485.11	--undefined--
?	0.56	0.004	4	1290.52	1681.32	2982.54	4475.2	--undefined--
?	0.57	0.004	4	1284.5	1659.6	2968.12	4515.58	--undefined--
?	0.58	0.004	4	1370.22	1653.25	3005.57	4503.47	--undefined--
?	0.58	0.004	4	1665.82	1673.6	3084.74	4548.57	--undefined--
?	0.59	0.004	4	1606.66	1658.63	3162.7	4587.73	--undefined--
