rowLabel	time(s)	intensity	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
?	0.03	1e-07	4	607.1	2944.12	3909.22	5087.76	--undefined--
?	0.03	4e-07	4	586.34	2847.76	3839.28	4764.3	--undefined--
?	0.04	7e-07	3	584.3	3202.21	4472.22	--undefined--	--undefined--
?	0.04	1e-06	3	603.83	2919.85	4268.52	--undefined--	--undefined--
?	0.05	2e-06	3	602.82	2887.99	4262.19	--undefined--	--undefined--
?	0.06	2e-06	3	616.72	2734.67	4243.85	--undefined--	--undefined--
?	0.06	2e-06	4	170.17	622.85	2599.08	4026.36	--undefined--
?	0.07	3e-06	4	210.47	838.01	2983.07	4383.25	--undefined--
?	0.08	3e-06	4	192.34	790.12	2744.5	4119.05	--undefined--
?	0.08	3e-06	5	181.6	809.34	2625.28	4432.57	4521.61
?	0.09	3e-06	5	178.44	762.93	2592.56	4355.14	5102.96
?	0.09	3e-06	5	174.3	631.03	2657.05	4002	4525.84
?	0.1	3e-06	5	158.98	646.7	2820.91	3982.69	4841.45
?	0.11	3e-06	5	156.01	646.26	2736.06	3702.22	5024.46
?	0.11	3e-06	5	149.07	734.1	2722.32	3762.38	5044.22
?	0.12	2e-06	4	142.37	783.15	2730.26	4013.8	--undefined--
?	0.13	2e-06	5	137.46	747.59	2745.01	3998.99	4956.67
?	0.13	2e-06	5	138.96	740.84	2820.63	3965.87	5101.68
?	0.14	2e-06	4	120.09	695.95	2799.4	3910.94	--undefined--
?	0.14	1e-06	5	129.99	712.23	2816.3	3830.21	5254.79
?	0.15	1e-06	5	110.95	678.8	2685.61	3909.62	4981.44
?	0.16	5e-07	5	95.98	638.53	2683.88	3850.87	5103.49
?	0.16	5e-07	5	137.85	660.3	2772.51	3972.75	5433.39
?	0.17	5e-07	5	178.2	683.36	2727.23	3938.69	5091.14
?	0.18	4e-07	5	212.7	702.67	2687.61	3923.83	5012.32
?	0.18	4e-07	4	273.62	595.44	2846.06	4043.3	--undefined--
?	0.19	4e-07	5	272.35	439.07	2766.51	3834.06	4953.13
?	0.19	4e-07	5	220.21	563.79	2658.46	3803.95	5084.23
?	0.2	4e-07	5	208.93	639.12	2737.18	3847.08	4954.58
?	0.21	4e-07	4	455.44	2690.54	3820.94	4926.43	--undefined--
?	0.21	4e-07	4	320.13	2257.32	3620.4	3772.52	--undefined--
?	0.22	2e-07	4	426.62	2290.32	3580.13	4597.07	--undefined--
?	0.23	1e-07	4	334.94	2454.51	3613.79	4857.61	--undefined--
?	0.23	1e-07	4	214.61	2355.54	3465.65	4313.43	--undefined--
?	0.24	1e-07	4	186.95	2119.14	3294.44	4249.89	--undefined--
?	0.24	5e-08	4	186.95	2029.62	3199.95	4385.66	--undefined--
?	0.25	5e-08	4	168.42	2138.79	3320.99	4269.47	--undefined--
?	0.26	5e-08	4	166.7	2255.57	3415.54	4323.45	--undefined--
?	0.26	2e-07	4	165.03	2220.66	3363.65	4348.6	--undefined--
?	0.27	8e-06	4	171	2158.33	3227.47	4346.45	--undefined--
?	0.28	0.0002	4	188.02	2105.96	3252.14	4468.82	--undefined--
?	0.28	0.003	4	395.03	2564.23	3149.85	4543.98	--undefined--
?	0.29	0.004	4	406.39	1754.29	3083.3	3935.68	--undefined--
?	0.29	0.01	5	405.03	1681.97	1729.68	3102.66	4393.97
?	0.3	0.03	5	419.72	1639.3	1783.5	3182.66	4109.79
?	0.31	0.03	5	458.01	1659.47	2023.53	2824.12	4092.57
?	0.31	0.07	5	535.17	1657.43	2667.3	3781.36	4278.6
?	0.32	0.25	5	598.74	1649.7	2666.25	3724.69	4578.51
?	0.33	0.25	5	614.68	1618.42	2656.24	3844.58	4601.6
?	0.33	0.25	5	635.49	1569.26	2664.47	4033.43	4558.62
?	0.34	0.25	5	648.41	1543.89	2686.06	4101.72	4623.03
?	0.34	0.25	5	649.07	1522.83	2665.43	4087.09	4684.64
?	0.35	0.25	5	652.89	1508.69	2638.07	4042.74	4705.31
?	0.36	0.25	5	658.93	1486.12	2621.23	4017.56	4704.76
?	0.36	0.25	5	661.63	1466.5	2610.79	4017.87	4701.25
?	0.37	0.24	5	664.74	1444.23	2605.81	4012.27	4698.66
?	0.38	0.24	5	676.2	1409.92	2595.84	3990.69	4629.41
?	0.38	0.24	5	697.02	1406.78	2590.36	4104.89	4308.61
?	0.39	0.2	5	699.58	1380.5	2586.53	3526.58	4615.05
?	0.39	0.2	5	702.68	1351.94	2598.25	3654.22	4677.43
?	0.4	0.11	5	704.89	1280.93	2603.1	3851.87	4689.13
?	0.41	0.13	5	703.15	1167.81	2603.31	3866.44	4751.47
?	0.41	0.13	5	738.83	1144.77	2580.07	3864.81	4660.32
?	0.42	0.13	5	786.38	1156.74	2579.19	3995.6	4024.1
?	0.43	0.2	5	816.81	1159.81	2607.38	3737.71	4044.14
?	0.43	0.35	5	840.79	1143.98	2637.26	3798.8	4086.31
?	0.44	0.38	5	850.51	1142.89	2823.51	3665.42	4047.31
?	0.44	0.38	5	876.09	1140.9	2567.34	3652.8	4089.39
?	0.45	0.38	5	927.5	1176.48	2537.7	3623.68	4613.88
?	0.46	0.38	5	963.68	1195.94	2549.57	3761.24	4679.07
?	0.46	0.38	5	998.24	1190.08	2494.41	3838.3	4660.12
?	0.47	0.38	5	1029.07	1176.46	2169.21	3819.59	4606.56
?	0.48	0.38	5	977.27	1182.38	2242.23	3875.03	4652.9
?	0.48	0.38	5	933.25	1196.98	2354.35	3833.98	4663.16
?	0.49	0.26	5	953.03	1200.7	2350.33	3724.7	4663.05
?	0.49	0.26	5	910.42	1226.18	2262.6	3720.75	4645.97
?	0.5	0.26	5	819.28	1238.25	2228.78	3836.8	4587.59
?	0.51	0.26	5	815.1	1233.41	2254.97	3962.97	4568.98
?	0.51	0.26	5	799.54	1255.37	2270.29	4033.11	4574.3
?	0.52	0.26	5	803.09	1246.96	2229.5	4074.18	4582.65
?	0.53	0.26	5	794.33	1223.03	2179.36	4113.02	4569.26
?	0.53	0.26	5	787.17	1271.6	2180.26	4177.63	4542.14
?	0.54	0.12	5	800.2	1262.83	2160.63	4278.86	4482.11
?	0.54	0.12	5	794.42	1202.05	1982.87	4366.42	4480.66
?	0.55	0.08	5	733.06	1185.28	1629.66	4390.51	4480.61
?	0.56	0.05	5	653.33	1189	1278.82	4302.39	4370.06
?	0.56	0.02	5	592.69	780.07	1225.67	4312.86	4464.73
?	0.57	0.006	5	503.46	782.92	1168.26	3639.86	4761.38
?	0.58	0.003	5	476.35	910.77	953.69	3546.93	4929.91
?	0.58	0.0006	5	473.16	904.85	917.03	3568.22	4737.87
?	0.59	0.0003	5	482.53	636.04	920.85	3658.98	4715.21
?	0.59	0.0003	4	325.08	998.92	3264.96	3924.14	--undefined--
?	0.6	0.0003	4	245.18	1123.95	2987.09	4180.68	--undefined--
?	0.61	0.0002	5	228.46	1016.4	2809.46	3672.03	4899.33
?	0.61	4e-06	5	228.59	836.41	2685	3645.98	5072.27
?	0.62	2e-06	4	235.65	2628.19	3643.22	4912.94	--undefined--
?	0.63	1e-06	5	244.86	717.52	2736.21	3706.55	4873.33
?	0.63	1e-06	5	240.69	858.95	2829.67	4099.59	5189.25
?	0.64	9e-07	5	223.5	1097.8	2815.77	3786.71	5168.27
?	0.64	7e-07	5	239.78	1217.67	2870.21	3775.16	5226.37
?	0.65	4e-07	5	271.39	774.73	2908.19	4016.29	4993.77
?	0.66	4e-07	5	249.93	646.94	2814.7	3853.85	4909.1
?	0.66	4e-07	5	240.38	628.49	2826.42	3781.98	4962.34
?	0.67	4e-07	4	525.21	2872.08	3693.48	4789.79	--undefined--
?	0.68	4e-07	4	283.94	2543.51	3398.88	4200.71	--undefined--
?	0.68	8e-06	4	255.13	2498.57	3321.41	4142.46	--undefined--
?	0.69	5e-05	4	276.01	2634.18	3474.56	4373.25	--undefined--
?	0.69	5e-05	4	355.9	2850.63	3777.44	4658.71	--undefined--
?	0.7	5e-05	5	504.51	2487.06	3346.62	4328.45	4792.28
?	0.71	5e-05	5	537	2467.97	3861.58	4515.76	4885.95
?	0.71	5e-05	5	499.45	2371.62	3862.19	4519.75	4894.74
?	0.72	5e-05	5	444.99	1666.77	2993.58	4481.21	4866.06
?	0.73	5e-05	4	466.15	2686.28	3678.32	4760.39	--undefined--
?	0.73	0.01	4	527.12	2386	3445.94	4691.63	--undefined--
?	0.74	0.01	4	1492.43	1596.91	3326.25	4275.07	--undefined--
?	0.74	0.01	5	1057.17	1441.8	1626.59	3229.86	4449.18
?	0.75	0.03	5	1096.34	1481.14	1615.65	3165.91	4450.08
?	0.76	0.03	5	1051.44	1495.68	1595.12	3118.73	4439.95
?	0.76	0.03	5	1100.94	1511.9	1726.9	3054.85	4436.33
?	0.77	0.03	5	1265.65	1524.7	1867.55	3052.86	4500.82
?	0.78	0.03	5	906.28	1519.52	1867.96	3008.91	4483.82
?	0.78	0.03	5	798.1	1523.94	1876.08	2981.66	4495.06
?	0.79	0.03	5	801.55	1521.86	1750.28	2983.31	4503.09
?	0.79	0.03	5	889.62	1516.5	1664.24	2905.65	4419.81
?	0.8	0.02	5	845.9	1554.25	1661.85	3236.98	4528.45
?	0.81	0.01	5	1286.27	1539.88	1650.9	3582.61	4577.28
?	0.81	0.001	5	1493.15	1624.01	1632.33	3781.48	4603.13
?	0.82	0.0009	5	1239.33	1510.98	1793.41	3714.44	4613.07
?	0.83	0.0009	5	1257.88	1348.55	1501.23	3220.34	4601.23
?	0.83	0.0009	4	1293.31	1493.07	3218.89	4547.58	--undefined--
?	0.84	0.003	5	967	1491.69	1950.49	3897.96	4518.68
?	0.84	0.003	4	1164.67	1704.8	3395.17	4419.68	--undefined--
?	0.85	0.003	4	1138.45	1725.36	2968.46	4492.05	--undefined--
?	0.86	0.003	4	1187.72	1666.16	2965.18	4522.43	--undefined--
?	0.86	0.003	4	1358.95	1642.53	3013.67	4483.61	--undefined--
?	0.87	0.003	4	1567.88	1648.59	3074.63	4493.69	--undefined--
?	0.88	0.003	4	1441	1690.8	3142.5	4481.79	--undefined--
?	0.88	0.003	4	1669.82	1673.28	3619.3	4577.55	--undefined--
?	0.89	0.001	4	1578.99	1859.38	3733.82	4632.63	--undefined--
?	0.89	0.001	4	1547.73	1754.6	3248.29	4590.86	--undefined--
?	0.9	0.0004	4	1598.49	1654.51	3169.92	4538.09	--undefined--
