rowLabel	time(s)	intensity	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
?	0.03	1e-07	4	591.92	2694.65	2749.51	4317.03	--undefined--
?	0.03	4e-07	4	570.99	2595.49	3879.7	4926.86	--undefined--
?	0.04	7e-07	5	55.18	605.9	2587.9	4021.51	5146.93
?	0.04	1e-06	4	624.45	3041.11	4177.99	4584.82	--undefined--
?	0.05	2e-06	3	625.6	3129.29	4254.22	--undefined--	--undefined--
?	0.06	2e-06	3	619.49	2823.04	4172.94	--undefined--	--undefined--
?	0.06	2e-06	4	187.73	652.35	2768.26	4214.11	--undefined--
?	0.07	3e-06	4	205.62	766.57	2900.98	4206.48	--undefined--
?	0.08	3e-06	4	193.11	801.88	3004.76	4230.18	--undefined--
?	0.08	3e-06	4	182.88	837.08	2967.73	3914.43	--undefined--
?	0.09	3e-06	4	180.18	814.83	2908.99	4009.17	--undefined--
?	0.09	3e-06	5	174.64	649.41	2726.37	3923.07	4899.22
?	0.1	3e-06	5	159.04	644.29	2717.07	4018.14	5127.56
?	0.11	3e-06	4	157.1	665.3	2973.64	4330.85	--undefined--
?	0.11	3e-06	4	149.98	790.38	2864.54	4580.58	--undefined--
?	0.12	2e-06	5	142.36	824.61	2713.25	3906.09	5136.99
?	0.13	2e-06	4	138.08	794.79	2970.21	4153.66	--undefined--
?	0.13	2e-06	4	140.21	775.34	3002.32	4077.33	--undefined--
?	0.14	2e-06	4	128.63	727.83	2807.8	3925.39	--undefined--
?	0.14	1e-06	5	134.75	734.06	2619.47	3834.84	4867.83
?	0.15	1e-06	5	131.76	703.86	2605.5	3854.21	4929.3
?	0.16	5e-07	5	139.51	688.86	2595.73	3789.71	4909.85
?	0.16	5e-07	5	113.93	638.68	2562.45	3760.06	5040.15
?	0.17	5e-07	5	177.07	642.88	2618.07	3810.47	5074.56
?	0.18	4e-07	5	220.97	686.3	2699.81	3939.17	5007.72
?	0.18	4e-07	5	289.13	503.89	2712.98	3768.76	4898.88
?	0.19	4e-07	5	271.82	375.17	2684.8	3840.02	4976.23
?	0.19	4e-07	5	224.33	403.81	2608.22	3891.76	5017.04
?	0.2	4e-07	4	213.76	584.28	2873.88	4147.54	--undefined--
?	0.21	4e-07	4	429.01	2643.52	3410.83	4628.53	--undefined--
?	0.21	4e-07	4	344.51	2467.84	3370.16	4471.63	--undefined--
?	0.22	2e-07	4	417.05	2357.14	3159.25	4325.65	--undefined--
?	0.23	1e-07	4	317.18	2330.8	3128.81	4442.81	--undefined--
?	0.23	1e-07	4	194.27	2568.19	2931.59	4308.23	--undefined--
?	0.24	1e-07	4	185.74	2201	2980.73	4306.85	--undefined--
?	0.24	7e-08	4	186.59	2304.84	3334.27	4263.16	--undefined--
?	0.25	7e-08	4	167.79	2245.48	3659.51	4295.77	--undefined--
?	0.26	7e-08	5	165.45	2351.88	2419.82	3643.59	4614.69
?	0.26	2e-07	5	163.74	1843.89	2898.1	3865.02	4706.91
?	0.27	8e-06	5	169.95	1822.44	2934.2	3931.19	4853.89
?	0.28	0.0002	4	188.13	2307.85	3398.83	4295.1	--undefined--
?	0.28	0.003	4	388.1	2565.28	3114.19	4098.2	--undefined--
?	0.29	0.004	4	406.77	1827.99	3072.15	3746.18	--undefined--
?	0.29	0.01	5	402.05	1743.16	1768.21	3107.72	4258
?	0.3	0.03	5	417.72	1653.78	1858.34	3174.21	4014.74
?	0.31	0.03	5	459.94	1692.17	2133.46	2832.55	4069.23
?	0.31	0.08	5	538.87	1700.04	2666.49	3773.83	4273.52
?	0.32	0.26	5	597.4	1699.48	2661.9	3826.82	4572.91
?	0.33	0.26	5	615.69	1683.68	2653.3	3960.5	4630.11
?	0.33	0.27	5	637.47	1602.5	2656.34	4039.63	4640.12
?	0.34	0.27	5	644.39	1551.66	2668.59	4063.51	4676.46
?	0.34	0.27	5	646.38	1537.71	2665.24	4079.27	4690.35
?	0.35	0.27	5	648.17	1527.27	2640.85	4041.52	4706.65
?	0.36	0.27	5	651.3	1515.99	2624.15	4018.18	4706.78
?	0.36	0.27	5	652.1	1518	2614.36	4018.93	4702.86
?	0.37	0.27	5	658	1500.04	2608.29	4011.73	4698.07
