rowLabel	time(s)	intensity	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
?	0.03	1e-07	4	597.99	2639	3330.9	4736.53	--undefined--
?	0.03	5e-07	4	579.54	2707.56	3500.72	4807.13	--undefined--
?	0.04	7e-07	3	595	3020.61	4051.26	--undefined--	--undefined--
?	0.04	9e-07	3	602.5	2958.22	4302.83	--undefined--	--undefined--
?	0.05	2e-06	3	605.6	2912.97	4219.54	--undefined--	--undefined--
?	0.06	2e-06	3	624.32	2643.48	3804.93	--undefined--	--undefined--
?	0.06	2e-06	4	190.68	657.94	2671.86	3904.19	--undefined--
?	0.07	2e-06	4	201.95	808.97	2769.63	4106.38	--undefined--
?	0.08	2e-06	4	190.9	797.93	2736.52	4151.35	--undefined--
?	0.08	2e-06	4	182	840.48	2818.86	4008.63	--undefined--
?	0.09	2e-06	4	181.88	824.84	3040.15	4163.5	--undefined--
?	0.09	2e-06	4	179.55	625.61	2907.99	4188.24	--undefined--
?	0.1	2e-06	4	158.59	640.14	2844.26	4151.65	--undefined--
?	0.11	2e-06	4	158.35	644.98	2942.31	4357.53	--undefined--
?	0.11	2e-06	4	150.38	782.56	2945.69	4158.36	--undefined--
?	0.12	2e-06	4	142.14	785.57	2697.9	4045.39	--undefined--
?	0.13	2e-06	5	136.84	724.41	2622.48	3927.53	5211.81
?	0.13	2e-06	5	138.72	717	2664.86	4004.33	5068.38
?	0.14	2e-06	5	124.82	690.35	2639.92	3840.44	4956.96
?	0.14	1e-06	5	123.24	671.64	2701.13	3723.84	5065.88
?	0.15	1e-06	4	576.4	2548.88	3777.52	5135.51	--undefined--
?	0.16	5e-07	4	537.44	2588.57	3943.09	5055.12	--undefined--
?	0.16	5e-07	4	605.85	2593.66	3791.96	4795.15	--undefined--
?	0.17	5e-07	5	172.37	609.55	2540.71	3713.5	5083.12
?	0.18	5e-07	4	224.5	657.91	2745.63	3747.07	--undefined--
?	0.18	5e-07	5	273.22	586.37	2732.48	3896.96	4979.66
?	0.19	5e-07	5	230.79	678.62	2834.71	3886.4	4924.02
?	0.19	5e-07	5	204.54	685.56	2860.51	4012.75	4907.43
?	0.2	5e-07	5	207.92	642.19	3032.87	4092.62	5115.51
?	0.21	5e-07	3	432.17	3050.12	4022.31	--undefined--	--undefined--
?	0.21	5e-07	4	318.82	2732.45	4076.09	4913.66	--undefined--
?	0.22	2e-07	4	417.15	2696.18	3774.02	4620.15	--undefined--
?	0.23	1e-07	4	343.07	2511.3	3253.15	4412.66	--undefined--
?	0.23	1e-07	4	220.03	2530.12	3431.37	4386.05	--undefined--
?	0.24	1e-07	4	188.14	2323.87	3477.3	4480.91	--undefined--
?	0.24	5e-08	4	186.72	2299.95	3350.71	4259.82	--undefined--
?	0.25	5e-08	4	167.44	2150.39	3385.7	4214.71	--undefined--
?	0.26	5e-08	4	166.3	2133.08	3315.67	4386.97	--undefined--
?	0.26	2e-07	5	164.26	2017.74	3259.84	4382.79	4936.51
?	0.27	7e-06	5	170.74	2026.27	2982.42	3932.74	5125.97
?	0.28	0.0002	4	187.6	2027.56	3217.35	4321.76	--undefined--
?	0.28	0.003	4	392.46	2510.1	3124.26	4339.31	--undefined--
?	0.29	0.005	4	408.39	1712.09	3072.27	3753.06	--undefined--
?	0.29	0.01	5	409.19	1524.92	1648.76	3090.82	4257.96
?	0.3	0.02	5	422.87	1635.01	1664.26	3201.28	4042.13
?	0.31	0.03	5	465.29	1628.04	1989.18	2795.87	4072.88
