rowLabel	time(s)	intensity	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
?	0.03	3e-06	5	247.11	1281.59	2722.7	3686.1	4672.24
?	0.03	8e-06	5	235.95	1008.03	2574.63	3649.17	4635.56
?	0.04	8e-06	5	243.31	987.17	2591.89	3522.29	4638.54
?	0.04	2e-05	5	196	842.14	3075.18	3899.21	4489.05
?	0.05	3e-05	4	172.79	936.13	3016.91	4406.64	--undefined--
?	0.06	3e-05	4	170.78	902.77	2774.13	4258.94	--undefined--
?	0.06	3e-05	4	179.56	968.39	2730.93	4124.47	--undefined--
?	0.07	4e-05	4	184.77	1152.39	2699.96	3802.79	--undefined--
?	0.08	4e-05	4	172.98	1082.15	2752.68	3834.3	--undefined--
?	0.08	4e-05	4	161.91	1015.81	2774.93	4036.77	--undefined--
?	0.09	4e-05	4	157.85	952.46	2733.49	4174.85	--undefined--
?	0.09	5e-05	5	155.7	803.57	2678.18	3172.21	4229.05
?	0.1	5e-05	5	151.84	675.54	2354.33	3504.39	4373.64
?	0.11	5e-05	5	149.56	681.22	2340.95	3638.58	4423.6
?	0.11	5e-05	5	144.56	867.53	2795.85	2880.22	4481.36
?	0.12	5e-05	5	140.24	882.2	2649.93	3429.01	4438.82
?	0.13	5e-05	5	137.56	855.98	2610.18	3687.76	4467.28
?	0.13	5e-05	5	140.33	695.16	2489.51	3563.77	4462.81
?	0.14	5e-05	5	134.31	916.63	2433.53	3468.89	4457.17
?	0.14	3e-05	5	137.96	945.69	2454.66	3504.91	4466.18
?	0.15	2e-05	5	143.4	982.09	2365.57	3499.37	4463.8
?	0.16	1e-05	5	160.52	817.77	2434.65	3383.69	4508.9
?	0.16	1e-05	5	167.97	971.43	2565.3	3519.77	4468.2
?	0.17	1e-05	5	180.8	986.28	2490.31	3484.06	4544.53
?	0.18	1e-05	5	206.53	980.98	2342.57	3513.72	4506.01
?	0.18	1e-05	5	232.96	1058.68	2392.83	3694.63	4444.72
?	0.19	1e-05	5	222.05	999.93	2413.36	3714.82	4612.34
?	0.19	1e-05	4	204.33	2223.94	2765.27	3963.64	--undefined--
?	0.2	1e-05	4	197.23	1954.48	3072.92	4189.94	--undefined--
?	0.21	1e-05	5	172.72	1278.21	2334.82	3609.01	4407.36
?	0.21	1e-05	4	190.43	2226.31	3436.48	4232.78	--undefined--
?	0.22	6e-06	4	186.69	2194.65	3191.41	4202.92	--undefined--
?	0.23	2e-06	4	186.81	2092.64	3118.79	4133.86	--undefined--
?	0.23	2e-06	4	179.72	2259.52	3449.85	4068.87	--undefined--
?	0.24	2e-06	5	184.04	1709.34	2691.9	3559.02	4386.18
?	0.24	1e-06	5	185.35	1734.57	3015.09	3544.98	4629.17
?	0.25	1e-06	5	164.14	1770.57	2448.5	3190.81	4526.87
?	0.26	1e-06	5	173.78	2204.27	2281.17	3282.71	4422.89
?	0.26	3e-06	5	169.01	1911.45	2375.97	3385.18	4458.94
?	0.27	0.0009	5	178.44	1905.36	2845.61	3230.88	4483.26
?	0.28	0.004	5	206.98	1443.91	2919.1	3375.61	4624.9
?	0.28	0.02	5	209.6	1697.22	2976.16	3429.02	4619.68
?	0.29	0.02	5	340.01	1620.44	3013.81	3479.86	4585.61
?	0.29	0.02	5	397.44	1399.05	2976.01	3443.08	4539.69
?	0.3	0.04	5	432.64	1175.81	2712.85	3601.06	4489.95
?	0.31	0.04	5	449.73	1130.32	2675.5	3687.61	4301.28
?	0.31	0.13	5	481.66	1098.48	2661.4	3930.52	4433.51
?	0.32	0.2	5	541.96	1092.54	2670.22	3992.99	4582.42
?	0.33	0.21	5	567.32	1097.86	2663.62	4008.86	4634.87
?	0.33	0.21	5	593.3	1095.97	2670.49	4043.5	4619.27
?	0.34	0.21	5	615.54	1106.87	2696.36	4096.99	4630.85
?	0.34	0.21	5	617.65	1108.47	2683.05	4095.04	4672.99
?	0.35	0.21	5	623.08	1104.6	2666.54	4075.83	4654.7
?	0.36	0.21	5	618.54	1091.34	2620.17	3994.78	4655.64
?	0.36	0.21	5	623.75	1098.54	2617.3	3993.68	4683.17
?	0.37	0.21	5	630.09	1102.4	2634.14	3993.09	4659.26
?	0.38	0.21	5	636.02	1097.85	2627.71	3931.21	4640.39
?	0.38	0.21	5	655.24	1113.47	2585.31	3817.41	4671.09
?	0.39	0.18	5	663.65	1106.72	2596.5	3845.61	4695.18
?	0.39	0.18	5	669.48	1083.24	2609.93	3890.48	4687.03
?	0.4	0.18	5	669.32	1098.38	2598.82	3890.31	4712.33
?	0.41	0.18	5	668.81	1098.51	2584	3867.12	4699.97
?	0.41	0.18	5	684.66	1097.67	2561.56	3866.2	4691.59
?	0.42	0.18	5	718.11	1101.85	2543.59	3894.49	4621.75
?	0.43	0.17	5	748.09	1108.09	2578.22	3920.02	4609.21
?	0.43	0.22	5	776.15	1094.66	2602.09	3899.02	4651.69
?	0.44	0.22	5	757	1097.21	2609.63	3848.28	4636.6
?	0.44	0.22	5	735.02	1107.94	2528.78	3819.67	4615.19
?	0.45	0.22	5	787.58	1125.37	2492.03	3834.9	4627.37
?	0.46	0.22	5	798.63	1137.25	2504.83	3869.09	4664.41
?	0.46	0.22	5	778.93	1124	2464.76	3890.72	4660.13
?	0.47	0.22	5	785.73	1113	2365.81	3872.69	4609.6
?	0.48	0.22	5	808.73	1102.47	2352.59	3884.06	4616.45
?	0.48	0.21	5	769.27	1147.15	2395.21	3896.71	4648.03
?	0.49	0.16	5	750.92	1164.3	2395.98	3870.9	4654.74
?	0.49	0.16	5	746.29	1184.47	2329.23	3894.26	4643.04
