rowLabel	time(s)	intensity	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
?	0.03	3e-06	5	247.42	1318.43	2758.95	3602.75	4655.68
?	0.03	8e-06	5	235.81	988.25	2534.99	3630.77	4673.45
?	0.04	8e-06	5	242.05	972.81	2572.77	3596.89	4668.11
?	0.04	2e-05	5	195.41	860.82	3021.09	4310.22	4711.02
?	0.05	3e-05	4	169.57	863.09	2933.53	4335.34	--undefined--
?	0.06	3e-05	5	169.59	830.73	2601.57	2829.19	4462.52
?	0.06	3e-05	5	177.18	869.02	2712.52	3023.32	4446.2
?	0.07	4e-05	4	181.95	1060.25	2744.42	3935.99	--undefined--
?	0.08	4e-05	4	172.18	1059.16	2824.55	3980.6	--undefined--
?	0.08	5e-05	5	161.61	1010.74	2819.77	3921.37	4336.31
?	0.09	5e-05	4	158.07	983.37	2719.84	4110.99	--undefined--
?	0.09	5e-05	5	154.92	814.48	2629.65	3815.51	4180.51
?	0.1	5e-05	5	150.85	697.02	2451.57	3627.03	4336.91
?	0.11	5e-05	5	150.83	701.59	2550.79	3393.87	4121.66
?	0.11	5e-05	5	144.96	907.25	2725.93	2856.51	4448.32
?	0.12	5e-05	5	139.98	915.76	2845.26	3776.94	4283.53
?	0.13	5e-05	5	136.7	877	2883.51	4003.72	4228.09
?	0.13	5e-05	5	140.9	544.71	2432.29	3588.83	4307.64
?	0.14	5e-05	5	134.52	886.52	2383.77	3585.35	4405.08
?	0.14	3e-05	5	139.69	838.02	2453.96	3556.82	4414.72
?	0.15	2e-05	5	145.97	876.66	2460.07	3434.51	4413.09
?	0.16	1e-05	5	161.33	701.23	2480.57	3287.5	4432.32
?	0.16	1e-05	5	167.42	987.7	2528.78	3366.32	4431.17
?	0.17	1e-05	5	179.49	1021.82	2499.41	3417.12	4461.23
?	0.18	1e-05	5	204.56	1053.56	2401.59	3516.77	4482.64
?	0.18	1e-05	5	235.4	1084.64	2420.34	3696.8	4581.63
?	0.19	1e-05	4	222.65	1117.24	2493.64	3862.64	--undefined--
?	0.19	1e-05	4	203.03	2596.77	4029.2	4082.89	--undefined--
?	0.2	1e-05	4	196.33	2081.77	3193.7	4279.82	--undefined--
?	0.21	1e-05	5	173.06	1573.31	2253.48	3352.19	4396.58
?	0.21	1e-05	4	190.05	2275.82	3391.89	4346.36	--undefined--
?	0.22	6e-06	4	185.91	2374.44	3322.3	4361.51	--undefined--
?	0.23	3e-06	5	187.65	1687.3	2315.36	3379.42	4287.59
?	0.23	3e-06	5	181.56	463.23	2322.9	3677.35	4165.75
?	0.24	3e-06	5	183.25	1528.4	2559.65	3579.9	4557.04
?	0.24	2e-06	5	185.58	1556.93	2768.11	3281.37	4412.15
?	0.25	2e-06	5	166.78	1676.62	2566.62	3307.05	4506.94
?	0.26	2e-06	5	170.17	1943.24	2449.79	3453.93	4423.73
?	0.26	4e-06	5	167.58	1799.4	2479.74	3405.43	4407.08
?	0.27	0.001	5	179.43	2234.57	2306.82	3276.79	4383.03
?	0.28	0.002	5	206.5	1438.3	2951.71	3474.07	4526.99
?	0.28	0.006	5	208.73	1700.89	2970.63	3449.71	4622.02
?	0.29	0.006	5	323.95	1671.74	2988.68	3574.62	4601.07
?	0.29	0.02	5	371.46	1608.93	2946.88	3589.92	4551.98
?	0.3	0.02	5	412.37	1636.79	2731.8	3666.82	4467.61
?	0.31	0.02	5	450.69	1648.36	2692.17	3779.41	4286.58
?	0.31	0.05	5	495.41	1652.87	2675.46	3941.65	4435.04
?	0.32	0.15	5	549	1642.39	2678.83	4010.11	4588.83
?	0.33	0.15	5	568.22	1623.75	2666.27	4016.46	4637.4
?	0.33	0.17	5	595.35	1567.79	2667.41	4042.52	4649.58
?	0.34	0.17	5	612.9	1534.49	2681.31	4066.03	4683.93
?	0.34	0.17	5	616.79	1525.73	2677.22	4078.49	4695.05
?	0.35	0.17	5	620.16	1514.5	2650.29	4036.38	4707.95
?	0.36	0.17	5	622.61	1496	2630.22	4002.08	4704.85
?	0.36	0.17	5	627.69	1489.72	2620.3	3997.31	4699.46
?	0.37	0.17	5	631.84	1463.99	2622.2	3985.66	4696.1
?	0.38	0.17	5	641.78	1412.78	2618.75	3923.5	4657.21
?	0.38	0.15	5	664.35	1400.19	2581.48	3807.06	4664.65
