rowLabel	time(s)	intensity	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
?	0.03	3e-06	5	246.69	1256.88	2715.07	3633.66	4690.04
?	0.03	8e-06	5	235.69	988.25	2570.9	3666.28	4679.58
?	0.04	8e-06	5	242.65	975.44	2541.24	3535.27	4689.94
?	0.04	2e-05	5	199.09	860.26	2973.34	3144.47	4455.71
?	0.05	3e-05	5	169.41	822.01	2678.7	3095.47	4449.34
?	0.06	3e-05	5	170.25	808.23	2320.99	3222.97	4549.6
?	0.06	3e-05	5	176.44	841.38	2354.28	3119.78	4508.96
?	0.07	4e-05	4	184.21	1161.16	2796.09	4271.19	--undefined--
?	0.08	4e-05	4	172.93	1083.36	2821.55	4158.16	--undefined--
?	0.08	4e-05	4	162.5	1045.97	2762.12	3837.98	--undefined--
?	0.09	4e-05	4	158.33	988.58	2693.56	3767.37	--undefined--
?	0.09	5e-05	4	156.76	907.5	2660.03	3852.81	--undefined--
?	0.1	5e-05	5	152.21	709.85	2621.27	3970.95	4013.3
?	0.11	5e-05	5	150.96	702.75	2542.22	3975.81	3995.19
?	0.11	5e-05	5	144.64	870.82	2793.96	2971.06	4448.19
?	0.12	5e-05	5	139.74	881.13	2699.63	3251.67	4461.77
?	0.13	5e-05	5	136.66	850.32	2748.19	3617.27	4398.05
?	0.13	5e-05	5	140.56	639.74	2501.71	3586.18	4511.57
?	0.14	5e-05	5	134.29	881.34	2441.64	3562.64	4482.63
?	0.14	3e-05	5	139.24	852.25	2426.46	3509.12	4497.27
?	0.15	2e-05	5	145.56	890.39	2364.22	3440.31	4466.18
?	0.16	1e-05	5	161.22	770.32	2530.58	3403.34	4358.69
?	0.16	1e-05	5	167.37	1031.16	2684.41	3456.92	4486.31
?	0.17	1e-05	5	180.02	1067.32	2687.11	3230.99	4462.84
?	0.18	1e-05	5	206.07	1045.05	2245.21	3414.99	4536.82
?	0.18	1e-05	5	235.38	1045.51	2350.1	3627.43	4672.17
?	0.19	1e-05	4	223.02	1202.47	2528.28	3888.17	--undefined--
?	0.19	1e-05	4	204.76	2222.3	2845.11	4185.57	--undefined--
?	0.2	1e-05	4	198.23	2076.13	3116.53	4258.25	--undefined--
?	0.21	1e-05	5	173.34	1831.72	2999.09	3069.64	4377.75
?	0.21	1e-05	4	189.49	2304.37	3398.49	4321.26	--undefined--
?	0.22	6e-06	4	186.07	2346.42	3139.62	4282.74	--undefined--
?	0.23	2e-06	4	188.06	2294.05	3189.15	4249.42	--undefined--
?	0.23	2e-06	4	182.18	2379.27	3608.93	4269.25	--undefined--
?	0.24	2e-06	5	183.5	1572.14	2498.71	3542.17	4441.11
?	0.24	1e-06	5	185.83	1610.12	2634.86	3348.27	4528.44
?	0.25	1e-06	5	166.65	1626.82	2545.02	3348.96	4586.78
?	0.26	1e-06	5	170.2	1924.38	2552.11	3416.08	4443.64
?	0.26	3e-06	5	167.83	1703.56	2409.13	3394.86	4420.72
?	0.27	0.006	5	179.49	1894.73	2578.35	3324.44	4481.77
?	0.28	0.007	5	206.81	1448.9	2884.27	3509.47	4593.73
?	0.28	0.01	5	219.2	1693.64	3018.57	3276.43	4610.5
?	0.29	0.01	5	318.15	1662.42	3070.07	3104.81	4567.14
?	0.29	0.01	5	374.19	1580.61	2829.63	3105.65	4503.94
?	0.3	0.02	5	415	1379.99	3020.83	3047.45	4384.5
?	0.31	0.02	5	451.65	1331.36	2716.3	3555.41	4288.85
?	0.31	0.06	5	492.27	1304.63	2659.61	3888.55	4439.14
?	0.32	0.18	5	553.73	1270.84	2658.72	3958.98	4594.9
?	0.33	0.18	5	573.79	1264.97	2659	4003.03	4631.5
?	0.33	0.2	5	595.01	1242.49	2657.25	4024.54	4621.9
?	0.34	0.2	5	610.93	1242.64	2673.36	4039.25	4634.77
?	0.34	0.2	5	621.34	1246	2680.62	4043.95	4671.74
?	0.35	0.2	5	622.32	1233.88	2648.39	4031.08	4703.33
?	0.36	0.2	5	622.68	1225.58	2631.65	4000.98	4701.88
?	0.36	0.2	5	631.47	1229.47	2631.49	4005.49	4684.88
?	0.37	0.2	5	632.52	1217.14	2625.67	3990.59	4693.18
?	0.38	0.2	5	640.51	1201.94	2619.31	3928.75	4659.71
?	0.38	0.2	5	663.56	1202.53	2579.68	3810.19	4665.65
?	0.39	0.17	5	670.66	1187.68	2582.2	3806.93	4667.77
?	0.39	0.16	5	670.72	1166.75	2604.19	3869.89	4672.45
?	0.4	0.14	5	667.37	1180.3	2585.1	3861.85	4694.84
?	0.41	0.16	5	670.89	1174.4	2586.95	3874.31	4710.72
?	0.41	0.16	5	690.02	1152.81	2555.82	3855.79	4668.9
?	0.42	0.16	5	721.31	1147.57	2538.67	3891.96	4617.58
?	0.43	0.16	5	751.56	1139.65	2564.85	3915.89	4645.3
?	0.43	0.23	5	776.78	1115.94	2580.96	3876.7	4652.73
?	0.44	0.23	5	762.9	1110.29	2599	3847.71	4648.41
?	0.44	0.23	5	740.28	1113.49	2522.11	3833.92	4641.97
?	0.45	0.23	5	787.72	1134.06	2502.1	3849.13	4623.4
?	0.46	0.23	5	796.65	1140.71	2511.72	3875.95	4660.35
?	0.46	0.23	5	780.68	1122	2461.43	3888.68	4655.16
?	0.47	0.23	5	794.42	1102.61	2352.4	3859.9	4590.05
?	0.48	0.23	5	806.9	1105.02	2361.97	3901.64	4631.41
?	0.48	0.22	5	769.63	1150.66	2405.37	3915.7	4664.73
?	0.49	0.17	5	756.96	1162.76	2388.21	3873.78	4653.97
?	0.49	0.17	5	746.43	1182.35	2318.43	3893.62	4634.18
?	0.5	0.17	5	701.72	1212.45	2321.28	3910.71	4603.03
?	0.51	0.17	5	701.98	1202.37	2326.8	3909.56	4582.74
?	0.51	0.14	5	710.35	1213.82	2339.79	3973.23	4564.81
?	0.52	0.13	5	721.25	1182.58	2286.03	4010.16	4558.15
?	0.53	0.13	5	688.12	1135.83	2210.96	4006.23	4551.23
?	0.53	0.13	5	673.35	1140.59	2218.48	4003.33	4540.28
?	0.54	0.08	5	655.23	1130.05	2222.83	4021.19	4499.93
?	0.54	0.08	5	609.3	1122.35	2161.14	3932.99	4491.7
?	0.55	0.04	5	606.12	1132.09	2024.38	4088.79	4411.07
?	0.56	0.03	5	631.22	1155.8	2240.49	4273.2	4346.47
?	0.56	0.02	5	594.86	1150.76	2313.35	4236.79	4352.9
?	0.57	0.006	5	589.2	1058.41	2318.01	3862.43	4476.64
?	0.58	0.003	5	588.41	1047.12	2266.32	3927.08	4363.95
?	0.58	0.002	4	593.56	1011.88	2317.65	4307.12	--undefined--
?	0.59	0.002	4	477.61	1068.14	2320.23	4258.64	--undefined--
?	0.59	0.002	5	404.56	1131.2	2302.05	4162.16	4610.62
?	0.6	0.002	4	423.02	1104.32	2321.66	4257.39	--undefined--
?	0.61	0.0006	5	329.1	1058.68	2274.45	3736.81	4376.39
?	0.61	0.0006	5	316.14	1098.34	2096.82	3339.31	4565.46
?	0.62	0.0005	5	315.87	1127.39	1984.8	3699.64	4666.69
?	0.63	0.0003	5	406.58	1086.85	1846.48	3781.24	4548.5
?	0.63	0.0002	4	491.73	985.96	2516.21	4288.83	--undefined--
?	0.64	0.0001	5	409.22	940.99	2254.52	3624.29	4236.41
?	0.64	9e-05	5	433.41	1102.45	2328.77	3353.02	4325.69
?	0.65	9e-05	5	401.16	1112.86	2471.27	3087.38	4411.66
?	0.66	4e-05	5	416.46	1063.38	2156.78	2938.02	4509.66
?	0.66	3e-05	5	371.48	951.61	2712.37	3265.52	4729.15
?	0.67	3e-05	5	325.53	966.55	2758.21	3680.15	4709.02
?	0.68	3e-05	5	244.82	959.09	2690.17	3560.19	4594.74
?	0.68	3e-05	5	257.24	931.7	2665.24	3700.41	4494.77
?	0.69	0.0002	5	318.8	1062.38	2771.95	3711.25	4553.63
?	0.69	0.0002	5	306.81	1245.46	3014.37	3828.92	4467.9
?	0.7	0.0002	4	1138.59	2984.35	3980.54	4742.62	--undefined--
