rowLabel	time(s)	intensity	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
?	0.03	4e-07	4	610.87	2669.27	3909.2	4845.24	--undefined--
?	0.03	7e-07	4	613.88	2640.35	3797.11	4833.8	--undefined--
?	0.04	7e-07	4	612.82	2532.91	3722.94	4894.4	--undefined--
?	0.04	1e-06	4	610.65	1682.4	3133.17	4160.48	--undefined--
?	0.05	1e-06	3	613.21	2981.77	4021.71	--undefined--	--undefined--
?	0.06	1e-06	3	600.95	2778.81	3876.6	--undefined--	--undefined--
?	0.06	2e-06	4	206	732.55	2673.74	4096.34	--undefined--
?	0.07	2e-06	4	203.62	892.57	2929.73	4114.91	--undefined--
?	0.08	2e-06	4	189.93	842.61	2973.44	4203.48	--undefined--
?	0.08	2e-06	5	179.3	849.03	2742.4	3860.34	4825.01
?	0.09	2e-06	4	177.08	688.28	2956.14	4193.9	--undefined--
?	0.09	2e-06	4	165.52	637.28	2773.61	4150.39	--undefined--
?	0.1	2e-06	4	157.95	645.22	2719.41	3933.96	--undefined--
?	0.11	2e-06	4	161.17	624.09	2618.46	3898.71	--undefined--
?	0.11	2e-06	5	149.22	711.52	2642.82	3959.63	4908.78
?	0.12	2e-06	5	140.21	675.95	2866.08	3939.44	5297.76
?	0.13	2e-06	5	132.28	649.03	2747.64	3912.06	5341.98
?	0.13	2e-06	5	131.56	639.52	2754.65	3906.67	5400.43
?	0.14	2e-06	5	108.64	639.07	2597.59	3874.46	5037.14
?	0.14	1e-06	5	98.1	635.84	2537.19	3761.01	5091.66
?	0.15	1e-06	4	617.88	2606.67	3871.1	5041.38	--undefined--
?	0.16	1e-06	4	594.57	2669.29	4071.96	5042.6	--undefined--
?	0.16	6e-07	3	585.79	2752.78	3990.56	--undefined--	--undefined--
?	0.17	6e-07	5	140.5	610.83	2637.21	3800.39	5187.56
?	0.18	6e-07	5	214.27	620.14	2666.46	3863.08	5217.65
?	0.18	6e-07	4	176.82	523.62	2743.53	3822.62	--undefined--
?	0.19	6e-07	4	211.98	521.12	2637.89	3956.31	--undefined--
?	0.19	6e-07	5	211.61	580.15	2602.52	3946.25	5208.26
?	0.2	5e-07	5	181.93	529.07	2786.96	3822.41	5142.12
?	0.21	5e-07	4	519.71	2920.58	3782.72	4739.41	--undefined--
?	0.21	5e-07	4	420.44	2853.29	3866.04	4928.96	--undefined--
?	0.22	3e-07	4	480.17	2451.67	3706.33	4153.59	--undefined--
?	0.23	1e-07	4	443.59	2537.59	3549.82	4424.88	--undefined--
?	0.23	1e-07	4	398.04	2714.8	3465.02	4651.67	--undefined--
?	0.24	1e-07	4	339.66	2375.02	3475.37	4615.12	--undefined--
?	0.24	6e-08	4	200.68	2169.14	3427.75	4353.98	--undefined--
?	0.25	6e-08	4	172.41	2103.11	3251.29	4329.78	--undefined--
