rowLabel	time(s)	intensity	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
?	0.03	3e-05	5	222.84	976.3	2754.51	3507.74	4586.91
?	0.03	4e-05	5	166.1	877.47	3115.23	3157.65	4351.72
?	0.04	4e-05	5	175.67	858.44	2452.92	3069.76	4365.87
?	0.05	4e-05	4	182.06	1068.59	2689.05	3820.32	--undefined--
?	0.05	5e-05	4	167.15	1012.19	2773.01	3851.46	--undefined--
?	0.06	5e-05	4	157.85	966.46	2697.63	4016.5	--undefined--
?	0.06	5e-05	5	154.23	829.34	2648.92	4143.15	4398.77
?	0.07	5e-05	5	150.23	763.73	2648.25	3796.14	4210.22
?	0.08	5e-05	5	142.72	885.3	2823.98	2974.73	4487.45
?	0.08	5e-05	5	139.14	896.32	2698.67	3672.82	4258.34
?	0.09	5e-05	5	139.92	923.43	2513.47	3454.51	4326.97
?	0.1	5e-05	5	136.38	1066.99	2404.68	3537.82	4385.48
?	0.1	5e-05	5	143.8	1074.6	2625.74	3223.64	4343.9
?	0.11	2e-05	5	158.83	1097.31	2612.87	3451.04	4370.98
?	0.11	1e-05	5	180.33	1118.62	2425.82	3503.6	4402.99
?	0.12	1e-05	5	193.5	1067.83	2414.82	3658.17	4446.29
?	0.13	1e-05	5	174.4	1107.43	2576.11	3834.24	4728.05
?	0.13	1e-05	4	159.4	1942.97	3122.91	4299.98	--undefined--
?	0.14	1e-05	5	149.41	1597.87	2442.94	3508.88	4416.11
?	0.15	1e-05	5	150.33	2201.85	2308.51	3279.64	4354.71
?	0.15	1e-05	4	149.7	2257.39	3350.87	4172.36	--undefined--
?	0.16	3e-06	5	147.84	1804.89	2574.37	3490.18	4405.06
?	0.16	3e-06	5	145.41	1742.35	2710.77	3284.3	4531.33
?	0.17	0.005	5	140.15	1845.88	2618.52	3421.59	4440.1
?	0.18	0.005	5	144.83	1699.2	2645.33	3422.34	4471.99
?	0.18	0.006	5	150.35	1696.68	2978.61	3496.96	4636.5
?	0.19	0.01	5	273.65	1675.8	2994.75	3525.77	4619.75
?	0.2	0.02	5	376.34	1614.26	2984.79	3557.6	4584.26
?	0.2	0.06	5	433.42	1517.75	2756.9	3705.97	4492.67
?	0.21	0.14	5	484.16	1509.91	2652.62	3954.07	4478.81
?	0.21	0.18	5	548.67	1498.14	2649.83	3996.14	4616.42
?	0.22	0.18	5	596	1459.44	2663.6	4043.1	4642.03
?	0.23	0.18	5	616.57	1418.26	2670.04	4055.24	4685.13
?	0.23	0.18	5	622.85	1386.95	2644.18	4031.44	4706.21
?	0.24	0.18	5	625.31	1355.62	2626.19	3999.12	4704.77
?	0.25	0.18	5	634.42	1335.84	2622.83	3986.69	4701.83
?	0.25	0.18	5	648.79	1301.28	2623.65	3955.96	4691.75
?	0.26	0.18	5	669.07	1285.34	2607.52	3891.33	4702.84
?	0.26	0.18	5	669.57	1275.19	2620.19	3914.83	4717.26
?	0.27	0.16	5	673.09	1235.56	2596.46	3883.74	4724.12
?	0.28	0.16	5	704.99	1192.3	2561.2	3879.21	4697.03
?	0.28	0.2	5	754.71	1174.14	2574.33	3918.89	4670.33
?	0.29	0.22	5	770.54	1145.52	2588.97	3883.66	4671.48
?	0.3	0.22	5	740.22	1129.46	2531.67	3842.54	4647.04
?	0.3	0.22	5	777.79	1137.62	2506.1	3866.53	4656.84
?	0.31	0.22	5	774.54	1129.84	2477.44	3901.05	4684.07
?	0.31	0.22	5	793.29	1111.53	2389.29	3901.65	4650.53
?	0.32	0.22	5	773.54	1141.37	2388.98	3914.76	4668.55
?	0.33	0.22	5	754.08	1175.49	2357.09	3890.18	4662.08
?	0.33	0.22	5	713.95	1201.05	2327.6	3906.83	4618.47
?	0.34	0.19	5	705.15	1202.32	2332.29	3931.07	4577.39
?	0.35	0.19	5	714.67	1180.52	2292.88	3991.18	4557.88
?	0.35	0.16	5	686.46	1148.38	2242.43	3989.44	4533.94
?	0.36	0.16	5	654.07	1141.33	2244.9	3987.18	4492.83
?	0.36	0.08	5	602.3	1137.59	2160.5	3971.69	4466.31
?	0.37	0.07	5	616.91	1165.15	2227.87	4202.28	4350.35
?	0.38	0.02	5	592.38	1120.37	2298.52	4084.59	4377.83
?	0.38	0.02	5	577.49	1049.94	2229.78	3968.23	4363.27
?	0.39	0.005	5	528.32	1054.32	2251.4	4278.88	4395.45
?	0.4	0.002	5	432.08	1127.14	2295.5	4244.82	4626.99
?	0.4	0.002	5	394.81	1083.93	2252.66	4303.09	4339.79
?	0.41	0.002	5	326.24	1093.02	2073.48	3568.62	4552.42
?	0.41	0.0007	5	369.02	1092.71	2050.11	3717.22	4578.27
?	0.42	0.0003	5	483.76	989.01	2249.71	3570	4373.06
?	0.43	0.0002	5	458.16	971.86	2256.15	3399	4307.92
?	0.43	0.0001	5	401.55	1078.44	2469.55	3097.7	4418.03
?	0.44	8e-05	5	386.59	996.2	2763.76	2980.33	4651.91
?	0.45	5e-05	5	330.76	952.87	2637.43	3603.15	4705.39
?	0.45	0.0002	5	207.2	945.98	2647.53	3638.45	4551.12
?	0.46	0.0002	5	289.04	1033.97	2802.89	3782.02	4539.68
?	0.46	0.0002	4	1169.3	3110.63	4042	4761.51	--undefined--
?	0.47	0.0002	5	551.01	1985.81	2880.11	4161.61	4773.09
?	0.48	0.0002	4	1263.64	2902.05	4208.35	4781.11	--undefined--
?	0.48	0.004	4	1239.01	2700.35	3949.95	4741.44	--undefined--
?	0.49	0.004	5	498.08	1451.43	2418.95	3483.38	4614.64
?	0.5	0.01	4	1321.38	1534.1	3095.5	4460.42	--undefined--
?	0.5	0.01	4	1339.42	1534.29	3060.8	4452.35	--undefined--
?	0.51	0.01	4	1404.38	1524.01	3023.08	4442.65	--undefined--
?	0.51	0.01	4	1341.78	1537.28	2971.42	4442.57	--undefined--
?	0.52	0.01	5	806.51	1536.33	2114.09	2930.33	4467.38
?	0.53	0.01	5	880.87	1559.64	1648.29	2930.68	4478.12
?	0.53	0.01	4	1207.75	1586.7	3076.72	4480.41	--undefined--
?	0.54	0.01	4	1507.5	1569.84	3217.3	4542.13	--undefined--
?	0.55	0.004	5	546.74	1309.8	1557.48	3185.97	4568.29
?	0.55	0.003	5	950.45	1537.46	2845.45	2992.63	4542.71
?	0.56	0.003	5	861.06	1571.95	2830.85	3880.56	4482.66
?	0.56	0.003	5	941.75	1620.27	2958.1	3896.59	4430.28
?	0.57	0.003	4	962.2	1636.99	2939.2	4478.88	--undefined--
?	0.58	0.003	5	962.73	1649.64	2921.87	4298.76	4485.8
?	0.58	0.003	5	828.3	1661.77	3000.53	3972.66	4527.34
?	0.59	0.003	5	687.8	1637.27	2926.12	3611.35	4568.98
