rowLabel	time(s)	intensity	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
?	0.03	1e-06	5	190.17	841.56	2679.03	3931.07	4916.79
?	0.03	1e-06	4	662.82	2706.98	4112.41	5032.87	--undefined--
?	0.04	1e-06	5	157.38	698.94	2734.38	3513.37	4810.64
?	0.05	2e-06	4	186.96	939.73	2938.18	4075.52	--undefined--
?	0.05	2e-06	4	176.1	894.61	2938.34	4175.21	--undefined--
?	0.06	2e-06	5	165.76	790.3	2763.01	4372.52	4849.1
?	0.06	2e-06	4	163.09	728.65	2831.45	4155.5	--undefined--
?	0.07	2e-06	4	157.28	761.45	2997.9	4141.89	--undefined--
?	0.08	2e-06	4	145.6	821.2	2800.76	4137.47	--undefined--
?	0.08	2e-06	4	140.29	887.85	2781.7	3956.02	--undefined--
?	0.09	2e-06	4	140.54	1045.45	2977.3	3988.87	--undefined--
?	0.1	1e-06	4	135.74	1350.68	3088.43	4072.2	--undefined--
?	0.1	1e-06	4	141.2	2104.91	3525.66	4321.24	--undefined--
?	0.11	7e-07	4	161.67	2161.19	3475.42	4365.8	--undefined--
?	0.11	3e-07	4	184.17	2215.44	3445.25	4381.17	--undefined--
?	0.12	3e-07	4	192.68	2171.19	3425.24	4505.33	--undefined--
?	0.13	3e-07	4	173.72	2036.51	3427.5	4600.65	--undefined--
?	0.13	3e-07	4	159.25	2115.54	3357.11	4495.85	--undefined--
?	0.14	3e-07	4	148.47	1997.93	3335.88	4430.79	--undefined--
?	0.15	3e-07	4	149.64	1980.14	3373.86	4294.19	--undefined--
?	0.15	3e-07	4	147.15	2026.44	3275.3	4176.17	--undefined--
?	0.16	1e-07	4	144.89	2160.66	3469	3909.81	--undefined--
?	0.16	9e-08	4	143.57	2129.57	2990.68	4066.5	--undefined--
?	0.17	3e-05	5	136.69	2050.1	2721.93	4001.88	5115.31
?	0.18	0.0003	5	138.87	1962.31	2960.35	4040.91	4965.85
?	0.18	0.003	4	252.29	1700.97	3059.52	3976.26	--undefined--
?	0.19	0.008	4	385.77	1650.03	3045.95	3461.1	--undefined--
?	0.2	0.02	5	407.24	1597.72	2304.4	3054.2	4067.77
?	0.2	0.06	5	461.63	1547.8	2438.92	2705.77	4081.51
?	0.21	0.2	5	521.85	1523.74	2647.71	4131.89	4502.7
?	0.21	0.23	5	598.02	1526.25	2649.7	4020.56	4614.87
?	0.22	0.25	5	645.32	1460.35	2663.47	4048.89	4631.36
?	0.23	0.25	5	659.84	1399	2666.06	4055.32	4675.05
?	0.23	0.25	5	669.29	1367.98	2640.49	4031.3	4696.58
?	0.24	0.25	5	681.96	1336.5	2624.75	4003.5	4695.24
?	0.25	0.25	5	702.29	1317.63	2619.54	3998.82	4689.7
?	0.25	0.25	5	727.46	1293.63	2618.68	3986.67	4669.93
?	0.26	0.25	5	747.99	1284.18	2602.26	3924.76	4677.29
?	0.26	0.25	5	740.95	1283.04	2609.19	3930.89	4707.11
?	0.27	0.2	5	758.08	1223.29	2605.58	3881.77	4713.32
?	0.28	0.23	5	812.72	1191.69	2577.69	3869.14	4663.38
?	0.28	0.34	5	863.25	1200.1	2586.38	3902.89	4581.69
?	0.29	0.34	5	899.17	1198.8	2606.72	3860.39	4566.27
?	0.3	0.34	5	919.47	1193.22	2572.56	3808.32	4540.15
?	0.3	0.34	5	959.79	1210.74	2529.06	3823.59	4641.82
?	0.31	0.34	5	1007.81	1214.42	2496.45	3877.21	4666.29
?	0.31	0.34	5	989.95	1218.67	2386.12	3876.33	4635.95
?	0.32	0.34	5	954.64	1216.34	2365.2	3880.12	4658
?	0.33	0.34	5	935.46	1214.6	2323.36	3841.93	4652.84
?	0.33	0.32	5	842.22	1234.02	2280.74	3878.37	4605.8
?	0.34	0.26	5	819.82	1239.24	2274.91	3944.46	4567.98
?	0.35	0.26	5	808.05	1230.26	2226.28	4044.19	4565.1
?	0.35	0.22	5	815.46	1224.92	2198.62	4090.26	4547.21
?	0.36	0.22	5	825.46	1248.11	2192.25	4141.48	4501.33
?	0.36	0.11	5	809.44	1192.18	2122.89	4149.04	4485.11
?	0.37	0.09	5	753.81	1207.54	1706.16	4453.54	4498.01
?	0.38	0.03	5	542.54	917.64	1248.86	4207.05	4489.74
?	0.38	0.02	5	461.51	881.11	1197.4	3747.32	5090.05
?	0.39	0.005	3	568.7	903.89	3871.71	--undefined--	--undefined--
?	0.4	0.0007	4	413.74	908.18	2995.04	4115.35	--undefined--
?	0.4	0.0002	5	229.1	920.13	2724.86	3877.11	5214.86
?	0.41	0.0002	4	226.22	2104.69	3349.84	4359.84	--undefined--
?	0.41	4e-06	4	227.37	2151.42	3405.48	4458.84	--undefined--
