rowLabel	time(s)	intensity	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
?	0.03	2e-07	4	607.11	2598.05	4035.73	4732.25	--undefined--
?	0.03	6e-07	3	598.5	2894.67	4188.33	--undefined--	--undefined--
?	0.04	6e-07	3	609.11	2959.83	4229.21	--undefined--	--undefined--
?	0.04	9e-07	4	603.7	1552.72	3018.52	4122.85	--undefined--
?	0.05	1e-06	3	610.49	2904.47	3944.33	--undefined--	--undefined--
?	0.06	2e-06	4	61.73	629.42	2577.4	3908.23	--undefined--
?	0.06	2e-06	4	197.19	669.83	2585.73	4179.01	--undefined--
?	0.07	2e-06	4	201.65	913.33	2842.34	4185.57	--undefined--
?	0.08	2e-06	4	191.37	843.83	2853.35	4101.81	--undefined--
?	0.08	2e-06	4	182.72	907.7	2891	4142	--undefined--
?	0.09	2e-06	4	182.37	780.68	2897.36	4295.42	--undefined--
?	0.09	2e-06	4	170.81	634.51	2638.38	4006.13	--undefined--
?	0.1	2e-06	5	157.77	640.19	2674.7	3778.08	4828.84
?	0.11	2e-06	5	159.08	648.14	2920.3	3718.2	4745.25
?	0.11	2e-06	4	150.55	775.39	2902.88	4197.14	--undefined--
?	0.12	2e-06	4	142	726.42	2831.22	4061.95	--undefined--
?	0.13	2e-06	5	134.15	672.57	2762.47	3776.76	5281.45
?	0.13	2e-06	5	132.51	654.07	2647.09	3817.18	4956.2
?	0.14	2e-06	5	87.61	626.19	2604.66	3793.81	4994.6
?	0.14	1e-06	4	109.14	644.82	2785.15	3947.35	--undefined--
?	0.15	1e-06	4	603.81	2798.41	3990.44	4962.24	--undefined--
?	0.16	6e-07	3	590.48	2794.43	4038.09	--undefined--	--undefined--
?	0.16	6e-07	3	612.26	2747.04	4151.59	--undefined--	--undefined--
?	0.17	5e-07	5	166.58	638.88	2675.06	3954.22	4914.6
?	0.18	5e-07	5	222.37	636.7	2495.76	3767.1	4811.82
?	0.18	5e-07	5	278.29	553.17	2656.87	3660.87	4748.93
?	0.19	5e-07	4	283.21	362.02	2862.35	4007.58	--undefined--
?	0.19	5e-07	4	213.28	634.21	2836.65	3860.53	--undefined--
?	0.2	5e-07	4	302.03	2738.87	3780.84	4881.11	--undefined--
?	0.21	5e-07	4	455.82	2556.33	3896.71	4915.38	--undefined--
?	0.21	5e-07	4	348.4	2497.05	4008.41	4984.08	--undefined--
?	0.22	2e-07	4	422.23	2449.8	3857.44	4772.8	--undefined--
?	0.23	1e-07	4	370.74	2437.78	3563.4	4998.41	--undefined--
?	0.23	1e-07	4	306.98	2387.72	3391.98	4428.18	--undefined--
?	0.24	1e-07	4	193.73	2422.08	3304.47	4318.37	--undefined--
?	0.24	5e-08	5	186.55	2014.64	2799.5	4459.64	4961.42
?	0.25	5e-08	5	167.54	1755.08	2799.5	3799.26	4739.04
?	0.26	5e-08	5	165.58	2008.65	3139.74	3895.92	5106.1
?	0.26	2e-07	4	164.78	2262.84	3335.44	4335.1	--undefined--
?	0.27	4e-06	5	171.37	2262.82	2931.62	3702.59	5020.16
?	0.28	0.0002	4	188.04	2219.4	3006.57	3831.34	--undefined--
?	0.28	0.003	4	379.85	2242.28	3149.6	4149.85	--undefined--
?	0.29	0.005	4	411.63	1717.71	3098.98	4128.64	--undefined--
?	0.29	0.006	5	417.44	998.5	1602.71	3109.89	4364.07
?	0.3	0.01	5	429.54	1469.28	1619.25	3291.84	4129.86
?	0.31	0.02	5	468.8	1550.31	1814.49	2801.77	4075.97
?	0.31	0.07	4	530.24	1544.1	2669.72	4305.49	--undefined--
?	0.32	0.26	5	587.62	1572.17	2655.41	3955.52	4585.8
?	0.33	0.26	5	614.4	1557.29	2650.64	4006.77	4636.06
?	0.33	0.27	5	645.61	1461.5	2655.37	4051.34	4638.38
?	0.34	0.27	5	657.25	1404.09	2668.81	4057.24	4663.7
?	0.34	0.27	5	661.91	1386.36	2673.64	4049.79	4666.86
?	0.35	0.27	5	662.46	1364.61	2639.47	4033.3	4690.06
?	0.36	0.27	5	666.35	1325.04	2615.52	4001.14	4654.64
?	0.36	0.27	5	671.8	1321.48	2625.19	4021.69	4661.35
?	0.37	0.27	5	671.16	1307.02	2610.6	4015.94	4688.01
?	0.38	0.27	5	681.14	1284.99	2595.75	3997.04	4620.67
?	0.38	0.26	5	704.92	1285.43	2590.34	4208.97	4217.71
?	0.39	0.19	5	705.35	1273.12	2587.03	3552.75	4582.4
?	0.39	0.19	5	705.82	1252.55	2598.08	3667.54	4661.55
?	0.4	0.13	5	703.95	1125.3	2602.39	3847.36	4697.01
?	0.41	0.15	5	699.11	1100.21	2602.56	3881.58	4747.55
?	0.41	0.15	5	743.56	1125.4	2572.6	3896	4612.69
