rowLabel	time(s)	intensity	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
?	0.03	3e-05	5	222.08	971.35	2633.76	3574.45	4638.04
?	0.03	4e-05	5	166.82	855.63	3045.29	3287.02	4405.81
?	0.04	4e-05	5	175.93	866.79	2729.78	2961.18	4485.01
?	0.05	4e-05	5	180.13	957.1	2729.36	3174	4270.42
?	0.05	5e-05	4	167.01	1006.41	2776.7	3941.49	--undefined--
?	0.06	5e-05	4	158.67	1009.15	2707.41	3943.52	--undefined--
?	0.06	5e-05	4	154.57	841.68	2666.61	4005.57	--undefined--
?	0.07	5e-05	5	149.44	736.43	2414.27	3215.43	4222.64
?	0.08	5e-05	5	142.8	892.59	2824.42	2839.64	4389.97
?	0.08	5e-05	5	139.17	892.17	2714.94	3839.14	4184.59
?	0.09	5e-05	5	139.8	913.96	2529.01	3428.89	4366.47
?	0.1	5e-05	5	136.47	1079.62	2438.45	3487.46	4415.82
?	0.1	4e-05	5	144.22	1126.1	2764.2	3047.28	4414.84
?	0.11	2e-05	5	158.78	1091.67	2620.77	3408.15	4456.72
?	0.11	1e-05	5	180.45	1124.13	2446.54	3501.04	4427.56
?	0.12	1e-05	5	193.75	1076.17	2431.26	3722.99	4467.37
?	0.13	1e-05	5	174.35	1070.41	2568.83	3836.23	4577.96
?	0.13	1e-05	4	159.6	2077.9	3120.48	4248.54	--undefined--
?	0.14	1e-05	5	149.74	2060.98	2075.23	3479.61	4286.4
?	0.15	1e-05	5	150.39	2116.31	2972.24	3201.88	4296.75
?	0.15	1e-05	5	149.39	2250.11	2358.47	3493.29	4235.57
?	0.16	3e-06	5	147.85	1711.55	2537.79	3473.84	4348.15
?	0.16	3e-06	5	145.29	1549.96	2636.08	3336.56	4539.25
?	0.17	0.005	5	140.18	1800.97	2586.38	3434.65	4483.04
?	0.18	0.005	5	144.86	1734.49	2637.95	3407.05	4474
?	0.18	0.007	5	150.21	1695.56	2979.43	3497.81	4636.63
?	0.19	0.01	5	275.5	1673.16	2996.36	3521.43	4619.28
?	0.2	0.02	5	379.03	1602.41	2989.39	3542.86	4582.54
?	0.2	0.06	5	435.68	1468.86	2756.87	3693.57	4491.41
?	0.21	0.15	5	485.1	1447.15	2649.73	3956.35	4470.62
?	0.21	0.18	5	550.34	1431.19	2646.58	3994.89	4611.73
?	0.22	0.19	5	597.36	1390.68	2661.09	4041.57	4640.09
?	0.23	0.19	5	617.04	1362.28	2668.88	4054.67	4684.59
?	0.23	0.19	5	623.23	1338.56	2643.45	4030.99	4705.79
?	0.24	0.19	5	625.67	1306.14	2625.6	3998.6	4704.5
?	0.25	0.19	5	634.53	1283.73	2622.5	3986.22	4701.86
?	0.25	0.19	5	647.59	1263.73	2624.15	3955.76	4692.47
?	0.26	0.19	5	669.16	1256.71	2607.38	3891.23	4702.78
?	0.26	0.19	5	670.86	1246.93	2619.14	3914.24	4716.33
?	0.27	0.16	5	672.73	1213.94	2596.48	3883.56	4724.27
